question,subject,choices,answer,d,e,b,a,c,sol,solution,}',the,none,.,?,not,cd,ad,output,cc,ac,4,Unnamed: 23,ca,(,i,dist,Ð°,dl,'},choice,counter,policy,ab,â¦,den,band,peter,pass,wrong,Ñ,1,g,f,john,cause,options,z,letter,y,3,correct,context,n,no,which,aa,cor,cho,second,histor,{',re,st,la,style,**,al,ex,p,dis,sim,world,',"""",subsequent,weakened,weaken,external,resulting,military,associated,their,related,term,option,an,therefore,step,so,bd,source,choose,public,bar,rob,char,text,l
"This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investmentsâ¦The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following most inspired the national plan advanced by Nkrumah in the second paragraph?",high_school_world_history,['Fascism' 'Social Darwinism' 'Classical liberalism' 'Socialism'],3,0.9994986712480494,4.782612717355737e-06,0.0003352870366447,3.287038445247956e-06,9.606134432375556e-05,,2.5599481151449214e-06,,2.2591462823926663e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Source 1:
""It is impossible to demand that an impossible position should be cleared up by peaceful revision and at the same time constantly reject peaceful revision. It is also impossible to say that he who undertakes to carry out these revisions for himself transgresses a law, since the Versailles ""Diktat"" is not law to us. A signature was forced out of us with pistols at our head and with the threat of hunger for millions of people. And then this document, with our signature, obtained by force, was proclaimed as a solemn law.""
Adolf Hitler, speech to the Reichstag, September 1, 1939
Source 2:
""We shall not flag or fail. We shall go on to the end. We shall fight in France, we shall fight on the seas and the oceans, we shall fight with growing confidence and growing strength in the air, we shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.""
Winston Churchill, speech before Parliament, June 4, 1940
Winston Churchill's speech in Source 2 is best understood in the context of which of the following?",high_school_world_history,"['British support for growing resistance movements in Eastern Europe'
 'British trade deals with American manufacturers of military hardware'
 'British appeasement of the Axis powers'
 'British fears about a possible invasion attempt by Nazi Germany']",3,0.0075768009729262,1.7469053961025486e-06,7.82908682062738e-06,1.1391254108313348e-05,0.992374909934668,6.097298946638619e-06,,,,,,,,,1.059551682353638e-06,,,,,,,,,,,,,,,,,,,,,,,4.190608195608212e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
Which of the following later developments would most undermine the hopes expressed by Mao in the second-to-last line of the passage?",high_school_world_history,"['The development of Special Economic Zones along the Chinese coast brought economic growth to China.'
 'Political friction with the Soviet Union pushed China into the orbit of the United States during the Cold War.'
 'The cooperatives of peasants on the farmland and an emphasis on countryside steel production brought famine and poverty to the Chinese peasantry.'
 'Opposition voices in the Communist Party led by men such as Deng Xiaopeng were rooted out and silenced during the Cultural Revolution.']",2,2.4283201422651823e-05,8.933290569218726e-06,7.479752616772245e-05,0.0001794299375736,0.999302177625006,0.0001583463641396,,,,,,,,,,7.208852305133467e-05,,,,,,,,,,,,,,,,,,,,,,4.003623070622168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
By what principle of reason then, should these foreigners send in return a poisonous drug? Without meaning to say that the foreigners harbor such destructive intentions in their hearts, we yet positively assert that from their inordinate thirst after gain, they are perfectly careless about the injuries they inflict upon us! And such being the case, we should like to ask what has become of that conscience which heaven has implanted in the breasts of all men? We have heard that in your own country opium is prohibited with the utmost strictness and severity. This is a strong proof that you know full well how hurtful it is to mankind. Since you do not permit it to injure your own country, you ought not to have this injurious drug transferred to another country, and above all others, how much less to the Inner Land! Of the products which China exports to your foreign countries, there is not one which is not beneficial to mankind in some shape or other.
Lin Zexu, Chinese trade commissioner, letter to Queen Victoria, 1839
Which of the following most likely prompted the complaint voiced in the passage?",high_school_world_history,"['British sale of opium in China' 'British exports of tobacco to China'
 'British introduction of gunpowder to China'
 'British encouragement of heroin use to China']",0,4.0058191103649535e-05,1.760034083594819e-06,7.483855359144065e-05,0.9998273224244736,8.938190596213728e-06,1.1476863904737784e-05,8.938190596213728e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5532246272157449e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Gunpowder Weaponry: Europe vs. China
In Western Europe during the 1200s through the 1400s, early cannons, as heavy and as slow to fire as they were, proved useful enough in the protracted sieges that dominated warfare during this period that governments found it sufficiently worthwhile to pay for them and for the experimentation that eventually produced gunpowder weapons that were both more powerful and easier to move. By contrast, China, especially after the mid-1300s, was threatened mainly by highly mobile steppe nomads, against whom early gunpowder weapons, with their unwieldiness, proved of little utility. It therefore devoted its efforts to the improvement of horse archer units who could effectively combat the country's deadliest foe.
According to this passage, why did the Chinese, despite inventing gunpowder, fail to lead in the innovation of gunpowder weaponry?",high_school_world_history,"['They were discouraged by Confucian traditionalism from doing so.'
 'They put too much faith in the numerical strength of their existing armed forces.'
 'They logically decided to develop weapons better suited to their immediate military needs.'
 'They could not afford the initial expense of converting to a new military technology.']",2,5.824415057037031e-05,3.532686306984866e-05,6.599926911900643e-05,4.003058023930261e-05,0.9991485873448908,2.751258862225443e-05,,,1.4726427488203223e-05,,,,,,,0.0004303695012151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The condition of foreign states is not what it once was; they have invented the steamship, and introduced radical changes in the art of navigation. They have also built up their armies to a state of great efficiency and are possessed of war implements of great power and precision, in short have license to be formidable powers. If, therefore, we persistently cling to our antiquated systems, heaven only knows what a mighty calamity may befall our Empire.
âAdapted from a letter written by Lord Ii to Lord Tokugawa, 1847
How did Japan respond to the concerns raised by Lord Ii during this era?",high_school_world_history,"['The government dismantled the Chinese-style civil service system.'
 'The government undertook a program of conquest in the Pacific.'
 'The country sent emissaries to study western democracies and industry.'
 'The country turned inward and closed its ports to all foreigners.']",2,8.477367713071521e-05,1.14728696054945e-05,0.0001397681646808,5.141783431635848e-05,0.9994743250732008,8.477367713071521e-05,,,,,,,,,6.958647170617599e-06,1.0124771890605844e-05,,,,,,,,,,,7.88518027682318e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
âRobert Guisepi, 1992
Which of the following was a long-term consequence of the Mongol conquest of Russia in the 1200s?",high_school_world_history,"['Russia was excluded from Western European developments (like the Renaissance).'
 'Russia benefited by becoming the administrative center of Mongol political activity.'
 'Islam became the dominant religion of Russia.'
 'Russia developed a centralized bureaucracy.']",0,0.998904290160451,,0.0007093871545811,0.0002609689500015,3.531830676441626e-05,1.668318681495697e-05,,,,,,,,,4.218170211028797e-06,,,,3.2851142634777e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
An Act to place certain restrictions on Immigration and to provide for the removal from the Commonwealth of Prohibited Immigrants.
â¦
3. The immigration into the Commonwealth of the persons described in any of the following paragraphs in this section (hereinafter called ""prohibited immigrants"") is prohibited, namely
(a) Any person who when asked to do so by an officer fails to write out at dictation and sign in the presence of the officer a passage of fifty words in length in a European language directed by the officer;
(b) Any person in the opinion of the Minister or of an officer to become a charge upon the public or upon any public or charitable organisation;
â¦
(g) Any persons under a contract or agreement to perform manual labour within the Commonwealth: Provided that this paragraph shall not apply to workmen exempted by the Minister for special skill required by Australiaâ¦
Immigration Restriction Act of 1901 (Australia)
Whereas in the opinion of the Government of the United States the coming of Chinese laborers to this country endangers the good order of certain localities within the territory thereof;
Therefore,
Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, That from and after the expiration of ninety days next after the passage of this act, the coming of Chinese laborers to the United States be suspended; and during such suspension it shall not be lawful for any Chinese laborer to come, or having so come after the expiration of said ninety days to remain within the United States.
SEC. 2. That the master of every vessel who shall knowingly bring within the United States on such vessel, and land or permit to be landed, any Chinese laborer, from any foreign port or place, shall be deemed guilty of a misdemeanor, and on conviction thereof shall be punished by a fine of not more than five hundred dollars for each and every such Chinese laborer so brought, and may be also imprisoned for a term not exceeding one yearâ¦.
Chinese Exclusion Act of 1882 (United States)
The passages are best seen as examples of which prominent social or economic trend from the 1800s?",high_school_world_history,"['The rise of anti-Semitic ideologies' 'Trade protectionism'
 'A growing desire to attract skilled labor from abroad'
 'Hardening of anti-immigrant sentiment']",3,0.9998975983752864,2.1443199621342847e-05,5.143956179524399e-05,1.0129050284871154e-05,4.22241635917656e-06,4.78462456560498e-06,,,5.042957190344119e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37081788922093e-06,6.475285207670049e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""And then Shapur, King of Kings, passed away. Then his son Hormizd, King of Kings, rose over the empire. And Hormizd, King of Kings, conferred on me cap and belt and created for me a higher rank and dignity, and at court and in kingdom after kingdom, place after place, throughout the whole empire he gave me more authority and power in matters of the divine services, and created for me the title ""Kerdir, Ahura Mazda's [Chief Priest]"" after the name of Ahura Mazda, the Deity. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence, and many Warham fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installedâ¦
And then Hormizd, King of Kings, passed away. Then Bahram, King of Kings, son of Shapur, King of Kings, and brother of Hormizd, King of Kings, rose over the empire. And Bahram, King of Kings, also held me in high honor and dignity and at court and in kingdom after kingdom, place after place, gave me authority and power for divine services of every sort. And thereupon in kingdom after kingdom, place after place, many divine services were performed in magnificence and many Warharan fires were established, and many magi became happy and prosperous, and many fires and magi were imperially installedâ¦
And in kingdom after kingdom and place after place throughout the whole empire the services of Ahura Mazda and the gods became preeminent, and great dignity came to the Mazdayanian religion and the magi in the empire, and the gods and water and fire and small cattle in the empire attained great satisfaction, while Ahriman [the evil counterpart to Ahura Mazda] and the demons were punished and rebuked, and the teachings of Ahriman and the demons departed from the empire and were abandoned. And Jews, Buddhists, Hindus, Nasoreans [Orthodox Christians], Christians, Maktak [Baptists], and Manichaeans in the empire were smitten, and destruction of idols and scattering of the stores of the demons and god-seats and nests was abandoned.""
Excerpt from the inscription of Kerdir at Naqsh-e-Rustam, Persia, late third century C.E.
Which of the following best describes Persia's relationship with Arabia in the period 600â1450 C.E.?",high_school_world_history,"['Persian armies were largely in control of Arabia throughout the period.'
 'Persia and Arabia interacted infrequently throughout the period.'
 'Persia supported Arabian client states throughout the period.'
 'Persia was brought into the Arabian orbit over the course of the period.']",3,0.9996837892305842,1.4734462971050824e-05,0.0001088737734807,9.608076786942426e-05,8.479098004271642e-05,,,,,,,,,,,,,,1.5530009714842606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
New York! I say New York, let black blood flow into your blood.
Let it wash the rust from your steel joints, like an oil of life
Let it give your bridges the curve of hips and supple vinesâ¦
See your rivers stirring with musk alligators
And sea cows with mirage eyesâ¦
Just open your eyes to the April rainbow
And your eyes, especially your ears, to God
Who in one burst of saxophone laughter
Created heaven and earth in six days,
And on the seventh slept a deep Negro sleep.
Senegalese poet LÃ©opold SÃ©dar Senghor, ""To New York,"" 1956
Which of the following best explains the phenomenon of an African poet writing so lyrically about New York?",high_school_world_history,"['Outmigration from Africa due to political violence'
 'Stronger transatlantic influences linking art in Afro-Eurasia with that in the Americas'
 'Preference on the part of African intellectuals for Western cultural advancements'
 'Lack of a rich indigenous artistic tradition in Africa']",1,3.726045485336082e-06,1.1477028083767164e-05,0.9998428531465908,1.4736795767596043e-05,3.726045485336082e-06,7.48396241731946e-05,7.888038354356068e-06,,,,,,,,,4.784337106906141e-06,,,,,,,,,,,,,,,,,,3.288223599698408e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""From the confines of Jerusalem and the city of Constantinople a horrible tale has gone forth and very frequently has been brought to our ears, namely, that a race from the kingdom of the Persians, an accursed race, a race utterly alienated from God, a generation forsooth which has not directed its heart and has not entrusted its spirit to God, has invaded the lands of those Christians and has depopulated them by the sword, pillage and fire; it has led away a part of the captives into its own country, and a part it has destroyed by cruel tortures; it has either entirely destroyed the churches of God or appropriated them for the rites of its own religionâ¦.The kingdom of the Greeks is now dismembered by them and deprived of territory so vast in extent that it cannot be traversed in a march of two months. On whom therefore is the labor of avenging these wrongs and of recovering this territory incumbent, if not upon you? You, upon whom above other nations God has conferred remarkable glory in arms, great courage, bodily activity, and strength to humble the hairy scalp of those who resist you.
Let the deeds of your ancestors move you and incite your minds to manly achievements; the glory and greatness of king Charles the Great, and of his son Louis, and of your other kings, who have destroyed the kingdoms of the pagans, and extended in these lands the territory of the holy church. Let the holy sepulchre of the Lord our Savior, which is possessed by unclean nations, especially incite you, and the holy places which are now treated with ignominy and irreverently polluted with their filthiness. Oh, most valiant soldiers and descendants of invincible ancestors, be not degenerate, but recall the valor of your progenitors.
Jerusalem is the navel of the world; the land is fruitful above others, like another paradise of delights. This the Redeemer of the human race has made illustrious by His advent, has beautified by residence, has consecrated by suffering, has redeemed by death, has glorified by burial. This royal city, therefore, situated at the center of the world, is now held captive by His enemies, and is in subjection to those who do not know God, to the worship of the heathens. She seeks therefore and desires to be liberated and does not cease to implore you to come to her aid. From you especially she asks succor, because, as we have already said, God has conferred upon you above all nations great glory in arms. Accordingly undertake this journey for the remission of your sins, with the assurance of the imperishable glory of the kingdom of heaven.""
Pope Urban II, Speech at the Council of Clermont as recorded by Robert the Monk, 1095 C.E.
The speech above is best understood in context of which of the following?",high_school_world_history,"['The Mongol invasions of the Middle East' 'The Protestant Reformation'
 'The Age of Discovery' 'The Crusades']",3,0.9999355156573396,7.888775605526676e-06,1.3006392140612114e-05,6.961820037062208e-06,3.288530931710398e-06,,,,1.7602237642361936e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I have, in conformity without resolve, put together some few points concerning the reformation of the Christian estate, with the intent of placing the same before the Christian nobility of the German nation. . . . It is not out of mere arrogance and perversity that I, an individual poor man, have taken upon me to address your lordships. The distress and misery that oppress all the Christian estates, more especially in Germany, have led not only myself, but every one else, to cry aloud and to ask for help. . . . These Romanists have, with great adroitness, drawn three walls around themselves, with which they have hitherto protected themselves, so that no one could reform them, whereby all Christendom has fallen terribly. . . . That the Temporal Power Has no Jurisdiction over the Spirituality . . . That No One May Interpret the Scriptures but the Pope . . . That No One May Call a Council but the Pope. . . . Let us now consider the matters which should be treated in the councils, and with which popes, cardinals, bishops, and all learned men should occupy themselves day and night. . . . It is a distressing and terrible thing to see that the head of Christendom, who boasts of being the vicar of Christ and the successor of St. Peter, lives in a worldly pomp that no king or emperor can equal. What is the use in Christendom of the people called ""cardinals""? I will tell you. In Italy and Germany there are many rich convents, endowments, fiefs, and benefices, and as the best way of getting these into the hands of Rome, they created cardinals, and gave them the sees, convents, and prelacies, and thus destroyed the service of God.
âMartin Luther, Address to the Christian Nobility of the German Nation
Which of the following reformers expressed views similar to those expressed by Martin Luther in his letter above?",high_school_world_history,['Ulrich Zwingli' 'Sir Thomas More' 'Erasmus' 'John Wycliffe'],1,0.999933951046856,4.784797961742217e-06,3.12008020358452e-05,1.473821530042703e-05,4.784797961742217e-06,1.3708675680460055e-06,,,,,1.2097863826542768e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4755198738235e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""When the Portuguese go from Macao in China to Japan, they carry much white silk, gold, musk, and porcelain: and they bring from Japan nothing but silver. They have a great carrack which goes there every year and she brings from there every year about six hundred coins: and all this silver of Japan, and two hundred thousand coins more in silver which they bring yearly out of India, they employ to their great advantage in China: and they bring from there gold, musk, silk, copper, porcelains, and many other things very costly and gilded.
When the Portuguese come to Canton in China to traffic, they must remain there but certain days: and when they come in at the gate of the city, they must enter their names in a book, and when they go out at night they must put out their names. They may not lie in the town all night, but must lie in their boats outside of the town. And, their time expired, if any man remains there, he is imprisoned.""
Ralph Fitch, an account of his travels to the Far East, 1599 C.E.
The description in the second paragraph of the procedures that Portuguese and other foreigners followed when trading in China supports which of the following inferences about trade policy in the later Ming Dynasty?",high_school_world_history,"['The Ming Dynasty was very supportive of and welcoming to all commercial enterprise.'
 'The Ming Dynasty sought to regulate trade strictly to limit contact with foreigners and ease collection of taxes.'
 'The Ming Dynasty was too busy battling pirates along its coast to pay any attention to regular merchant activity.'
 'The Ming Dynasty only allowed Portugal to trade with China through Canton, permitting only one boat a year.']",1,1.0128026396222944e-05,3.288088759004274e-06,0.999802336624868,4.221989538886741e-06,8.937951923961771e-06,5.828276780236123e-05,5.828276780236123e-05,,,,,,,,,1.5202450134312128e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Is it not unity alone that can weld us into an effective force, capable of creating our own progress and making our valuable contribution to world peace? Which independent African state will claim that its financial structure and banking institutions are fully harnessed to its national development? Which will claim that its material resources and human energies are available for its own national aspirations? We are fast learning that political independence is not enough to rid us of the consequences of colonial rule. We have been too busy nursing our separate states to understand fully the basic need for union, rooted in common purpose, common planning and common endeavour.
Ghana's president, Kwame Nkrumah, addressing the Organization of African Unity, 1963
The speaker in the passage above is espousing which of the following causes?",high_school_world_history,['Nationalism' 'Socialism' 'Pan-Africanism' 'Neocolonialism'],2,0.000139809891714,,,,0.9997895366246072,,,,,,,3.725807412872088e-06,,,,,,,,,3.2880135014863425e-06,,,,,,,6.142817932134426e-06,,,,,,,,,,,,,,,3.725807412872088e-06,1.994280998200557e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
By what principle of reason then, should these foreigners send in return a poisonous drug? Without meaning to say that the foreigners harbor such destructive intentions in their hearts, we yet positively assert that from their inordinate thirst after gain, they are perfectly careless about the injuries they inflict upon us! And such being the case, we should like to ask what has become of that conscience which heaven has implanted in the breasts of all men? We have heard that in your own country opium is prohibited with the utmost strictness and severity. This is a strong proof that you know full well how hurtful it is to mankind. Since you do not permit it to injure your own country, you ought not to have this injurious drug transferred to another country, and above all others, how much less to the Inner Land! Of the products which China exports to your foreign countries, there is not one which is not beneficial to mankind in some shape or other.
Lin Zexu, Chinese trade commissioner, letter to Queen Victoria, 1839
On which of the following arguments does the author of the passage principally base his appeal?",high_school_world_history,"[""It is hypocritical to sell one country a substance banned as harmful in one's own.""
 'Confucian teachings forbid the use of all narcotics as inherently immoral.'
 'Addiction is causing China to suffer an unfavorable balance of trade.'
 'Britain is unwise to risk the wrath of a militarily more powerful state.']",0,2.429737841793803e-05,5.421477937581515e-06,5.828638079496091e-05,0.9998613301902176,6.961315467866502e-06,,6.482259505895534e-06,,2.901908025554071e-06,,,,,,,4.222251263192829e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""My little homestead in the city, which I recently insured for ï¿¡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
A historian researching nineteenth-century conflicts in South Africa would most likely find this letter a useful source for information about which of the following?",high_school_world_history,"['The diffusion of cultural practices throughout South Africa'
 'Economic boons present in British colonies'
 'Daily challenges of Afrikaners during the colonial period'
 'Unforeseen consequences of British imperialism']",3,0.9998842784735424,2.1442831527584906e-05,3.726205393291961e-06,1.3005734752532928e-05,4.00604833173107e-05,1.65349362008292e-06,,,,,3.2883647179741696e-06,,,,,,,,,5.4215968563438415e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""In Northern India the existence of separate States at this period is usually little more than a question of words. A zamindar who paid revenue to the Mogul was clearly in a position of dependence, and if he wished to establish a claim to sovereignty, the first step was to refuse, or omit to pay revenue. Such an omission might, however, arise from various other causes, and it is probable that in Rajputana, Central India, and Chota Nagpur there were numerous chiefs and tribes occupying what constitutional lawyers would regard as an anomalous position, sometimes paying the stipulated revenue, sometimes in open rebellion, and sometimes enjoying practical independence because the Mogul authorities found it inconvenient to undertake active measures of coercion.""
W.H. Moreland, India at the Death of Akbar, 1920
Zamindars had an ability ""to establish a claim to sovereignty"" largely due to the Mughal Empire's policy of",high_school_world_history,['religious toleration' 'universal taxation' 'martial law' 'suffrage'],0,4.537711810971879e-05,,0.9994977851908484,3.118720677924139e-05,0.0002611272853036,3.5339735117372616e-05,1.4731793355931458e-05,,6.141125131840019e-06,,,5.419523907233232e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.141125131840019e-06,4.220729462827441e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Yi Yin sacrificed to the former king, and presented the heir-king reverently before the shrine of his grandfather. . . . Yi Yin then clearly described the virtue of the Meritorious Ancestor for the instruction of the young king.
""Oh! of old the former kings of Xia cultivated earnestly their virtue, and then there were no calamities from Heaven. The spirits of the hills and rivers were all in tranquility; and the birds and beasts enjoyed their existence according to their nature. But their descendant did not follow their example, and Heaven sent down calamities, using our ruler, who possessed of its favor. The attack on Xia may be traced to the orgies in Ming Tiao. . . . Our king of Shang brilliantly displayed his sagely prowess; for oppression he substituted his generous gentleness. Now your Majesty is entering on the inheritance of his virtue; all depends on how you commence your reign.
""Oh! the former king began with careful attention to the bonds that hold men together. . . . Revere these warnings in your person. . . . The ways of Heaven are not invariable: on the good-doer it sends down all blessings, and on the evil-doer it sends down all miseries. If you not be virtuous, be it in large things or in small, it will bring the ruin of your ancestral temple.""
âExcerpted and adapted from the Shu Jing, 6th century BCE, China
What does the phrase below tell us about the ruler?",high_school_world_history,"['He had the Mandate of Heaven.' 'He was an absolute monarch.'
 'He had lost the blessing of the gods.'
 'He was killed as a result of natural disasters.']",0,1.2991454071631825e-05,,0.0008037528023886,0.0001396712940304,0.99883362963515,,,,3.531443352817706e-05,,,,,,,,,,,,,,,,,,,1.668135722770671e-05,,,,,,,,,,,,,,,,,,,1.2991454071631825e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
But the decline of Rome was the natural and inevitable effect of immoderate greatness. Prosperity ripened the principle of decay; the causes of destruction multiplied with the extent of conquest; and, as soon as time or accident had removed the artificial supports, the stupendous fabric yielded to the pressure of its own weight. . . . The victorious legions, who, in distant wars, acquired the vices of strangers and mercenaries, first oppressed the freedom of the republic, and afterwards violated the majesty of the purple. The emperors, anxious for their personal safety and the public peace, were reduced to the base expedient of corrupting the discipline which rendered them alike formidable to their sovereign and to the enemy; the vigour of the military . . . was relaxed . . . ; and the Roman world was overwhelmed by a deluge of Barbarians.
âAdapted from Decline and Fall of the Roman Empire, by Edward Gibbon
Most classical empires shared which of the following traits?",high_school_world_history,"['They required the cultural assimilation of conquered peoples to limit diversity within the empire.'
 'They provided state support of foreign religions to improve support of the government.'
 'They embarked on widespread public works projects to integrate their empires.'
 'They had government bureaucracies based on the merit principle.']",2,0.9987851852252028,,0.0004302193091921,7.476087025807758e-05,0.0001232598370105,6.597623643728226e-05,,,,4.640549539009571e-05,2.750298717203228e-05,,,,,,,,,,,,,,,,2.750298717203228e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
