question,subject,choices,answer,b,c,a,f,d,ÃÂÃÂ±,bi,p,ÃÂÃÂ°,<|end|>,aa,.a,e,(a,ÃÂÃÂ,_c,-c,(c,_a,.c,.b,_d,.d,ÃÂÃÂ­d,-a,ci,_b,j,(b,-d,ÃÂÃÂ´,g,civil,h,(d
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,1.2917800047039217e-12,0.999999999997952,,,6.431393941043376e-14,,,,,5.675685232272112e-14,,,,,5.3849402174119e-13,3.900837609932871e-14,3.037975385250107e-14,,,,,,,,,2.681003867611464e-14,,,,,,,,,
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,1.2917800047146645e-12,0.999999999998374,,,4.420228103397088e-14,,,,,,,,,,1.7482341281745197e-13,2.087967911530636e-14,,3.900837609965311e-14,,3.442477108279884e-14,,,,,,2.087967911530636e-14,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.999999999999844,8.258073284306103e-14,,1.2664165547177518e-14,2.3659776087766827e-14,1.2664165547177518e-14,,1.1176086869202708e-14,,,,,,,,,,,,,7.681204684039584e-15,,,,,,,,5.2792096275394025e-15,,,,,,
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.999999999998904,1.0060392791773073e-12,,1.6261110444464698e-14,4.4202281031753983e-14,9.862862045541168e-15,,6.7786393420948416e-15,,5.982128223136778e-15,,,,,,,,,,,6.7786393420948416e-15,,,,,,,,,,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,1.8189616534231875e-09,6.348799996918769e-09,8.59216645795607e-10,,0.9999999908799406,,,,,,,,4.277787788703264e-11,,,,,,,,,2.2897348026824017e-11,2.2897348026824017e-11,,,,,,,,,,,,4.508755157695364e-12
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.9999999999889864,8.423463750914047e-12,1.6586783582142888e-12,4.4202281017758897e-14,7.835041781758095e-13,3.900837608534608e-14,,3.4424771070172925e-14,,3.037975384161139e-14,,,,,,,,,,,,,,,,,,,,,,,,,
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,1.1399918529227332e-12,3.701011678197824e-13,1.7482341280845437e-13,,0.9999999999980616,,,,,,,,1.626111044444334e-14,,,,,,,,,1.3615261079443968e-13,5.675685232027201e-14,4.420228103169592e-14,,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.9999999999975128,1.8795288159067945e-12,2.3659776083388283e-14,3.4424771073119e-14,4.193795656968718e-13,5.675685230723378e-14,,3.4424771073119e-14,,,,,,,,,,,,,3.9008376088684416e-14,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9999999999998654,6.43139394035234e-14,1.435037959888459e-14,4.111452591845045e-15,1.435037959888459e-14,2.3659776087302195e-14,8.703945205238185e-15,,,,,,,,,,,,,,4.658886144306808e-15,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,5.789356316696315e-12,1.818961683771969e-09,3.26613133599814e-13,,0.9999999981740296,,,,,6.431393928083059e-14,,,,,,,,,,,,4.1937956496619e-13,2.543665642089404e-13,1.542811199984846e-13,,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,"['The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources'
 'The coastal State may exercise sovereign rights over its continental shelf only upon its declaration'
 'The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources'
 'The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States']",0,1.201542573103985e-13,,0.9999999999853728,,,,,,1.3887943864118015e-11,1.7482341281645614e-13,2.8823507932688053e-13,7.28772409537575e-14,,4.4202281033719086e-14,,,,,3.9008376099430904e-14,,,,,,,,,,,,,,,,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,1.6586783588624232e-12,0.9999999999978104,,,5.008774637687059e-14,,,,,,,,,,3.7010116784770744e-13,3.4424771083624525e-14,2.0879679115807172e-14,3.9008376100588744e-14,,,,,,,,1.6261110445670282e-14,,,,,,,,,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,2.2447770549833345e-13,0.9999999999995796,,,,,,,,,,,,,1.0603575991346048e-13,1.6261110445905527e-14,2.365977609095089e-14,2.365977609095089e-14,,9.862862046415076e-15,,,,,,1.6261110445905527e-14,,,,,,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,5.008774637343529e-14,,0.999999999979132,,,,,,2.020683908820512e-11,1.2015425730572405e-13,2.8823507931566705e-13,7.28772409509223e-14,,7.28772409509223e-14,,,,,5.675685232066177e-14,,,,,,,,,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,1.7482341282336868e-13,0.9999999999997188,,,9.862862046369623e-15,,,,,5.982128223639261e-15,,,,,5.6756852325114e-14,8.703945206540356e-15,1.8426252146841743e-14,6.77863934266423e-15,,,,,,,,,,,,,,,,,
