question,subject,choices,answer,c,b,-c,d,ÃÂÃÂ,.c,_c,(c,a,e,g,ÃÂÃÂ°,aa,<|end|>,ÃÂÃÂ¡,.d,_d,ab,abc,f,-d,.a,.b,ÃÂÃÂ±,_a,ci,-b,bc,ac,h,w,-a,l,cd,j,t,da,abcd,m,ad,3,bd,ÃÂÃÂ­d,_b,k,o,all
What are the types of terrorism? Are all groups the same?,security_studies,"['Religious terrorism seems to be one of the hallmarks of the post-Cold War age. Religious terrorism is understood to denote the extremist activities of Islamic fundamentalism. Al-Qaeda is the most prominent example of religious terrorist groups and is described as globally operational, although religious terrorism is not limited to the al-Qaeda network. Christian beliefs were used to justify the ethnic cleansing in Bosnia, as well as anti-abortionist assassinations in the USA.'
 'Terrorist groups have drawn their ideas from ideologies. There was a wave of terrorist violence in Europe in the 1970s and 1980s rooted in various leftist and Marxist ideologies but these began to wane by the late 1980s. Right-wing groups are also present, often with overtly xenophobic and racist views, targeting migrants and foreign workers.'
 'Groups defined by their ethnic or linguistic identifications are a broad category for the organization of terrorist groups. In some countries a large number of anti-colonial groups were ethnically based and used terrorist tactics in the wars of liberation. Such loyalties and tactics have in some cases proved immutable post-independence. Ethnic and linguistic affiliation has proved a powerful motivation for terrorist actions when combined with territory, and ethnic independence from another ethnic group.'
 'All of the above are correct.']",3,3.70101167821461e-13,2.129785170738225e-12,,0.9999999999915083,,,,,5.789356328139262e-12,4.4202281031896414e-14,,,,1.1176086869752502e-14,,8.25807328471235e-14,6.431393940795025e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of actors are involved in the defence trade?,security_studies,"['The defence trade concerns legitimate business interaction between states procuring or selling military equipment.'
 'Military organisations are the sole actors in the defence trade.'
 'Not only state actors are involved in the defence trade. Non-state actors, including illegal groups, are also key players.'
 'The defence trade refers solely to the trade in weapons and small arms that takes place outside the legal interactions between states.']",2,0.991422330483295,1.62333178873202e-07,,1.1759376036172456e-08,,,,,0.0085774843532148,,,,,,,,,1.803358722144273e-09,2.973235883901865e-09,,,,,,,,,,6.294340415613649e-09,,,,,,,,,,,,,,,,,,
How has HM developed during and since the Cold War?,security_studies,"['During the post Cold War period there has grown an increasingly disparity between the analytical framework of security studies and HM, sidelining the latter and excluding it from mainstream study.'
 'Following the popularity of HM during the Cold War it has enjoyed a gradual inclusion into security dialogue and is now considered one of the main paradigms within security studies.'
 'The negativity attached to HM during the Cold War restricted the prominence of HM at this time, excluding it from mainstream security studies. Following this, the broadening of the security studies agenda has lead to increasing inclusion of HM as an area for study.'
 'HM was developed as an approach to security studies following the Cold War and has flourished in the proceeding security environment. It has also enjoyed reputable success thanks to its affiliation with prominent actors during the Cold War.']",2,0.9999784659654292,2.1444938852138942e-05,,1.4165791920394541e-09,5.789235382349345e-12,7.433525374124533e-12,,,8.764065124113719e-08,1.7832100367064872e-11,,,,7.433525374124533e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To what extent is TNC linked with terrorism, and in what ways?",security_studies,"['There is growing evidence of direct partnerships between terrorist groups and transnational criminal organization resulting from the end of the Cold War and the need to secure new forms of financial sponsorship. For most terrorist groups criminal activity has been amongst the most important sources of funds with the diffusion of terrorist networks globally operating in correlation to the diffusion of illicit market activities.'
 'The nexus between terrorist groups and criminal organizations are generally a temporary aberration. Differential long-term strategic goals meant that levels of cooperation were generally tactical temporary alliances that would have little pervasive effects.'
 'There is increasing evidence over the convergence of terrorism and transnational crime, but there is no consensus about whether this phenomenon is a long-term strategic alliance or episodic ""marriages of convenience"".'
 'All of these options.']",2,7.68265182696576e-08,5.983255258905893e-08,,0.9933070116165602,,,,,0.0066928491627823,1.5944835178284392e-09,,,,,,,,,,,,,,,,,,,,,,,,,,9.67103139969404e-10,,,,,,,,,,,
Which statement best describes the relationship between realist international relations theorists and peace researchers in the early 1960s?,security_studies,"['Both peace researchers and realists advocated an academic focus on the escalation of the arms race. Although tensions existed between the groups in terms of their proposed solutions to this crisis, there existed a consensus that the Soviet bloc should be eliminated as a nuclear threat, thus favouring the survival of Western liberal democracies.'
 'In contrast to the realist school, peace researchers looked beyond the accumulation of nuclear weapons for a focus to their studies; this resulted in tensions between the two groups, with the former believing that the attainment of superior military strength was paramount to achieving security.'
 'Whilst peace researchers indentified the escalation of the arms race as a result of failures by the League of Nations, realist scholars deemed it to be the natural progression of ideological differences between the Soviet bloc and Western liberal democracies. This resulted in irreconcilable differences between the study agendas of realists and peace researchers.'
 'The East-West divide of the Cold War gave rise to a sharp divide between realists and early peace studies theorists. Whilst realists wished to focus research on that which would favour the survival of Western liberal democracies, advocates of peace studies regarded this approach as being narrow and Western ethnocentric.']",3,0.0001884526012157,0.1823799592728335,,0.8173702913080164,,,,,6.118160196478781e-05,1.0423018824612601e-07,,,,,,,,,,,,,,,,,,,,,,,,,,1.0985781017078827e-08,,,,,,,,,,,
Which of the following is an important outcome of the 'energy security nexus'?,security_studies,"['Attempts to exert control over energy reserves in the South have consequences for the sustainability of cooperation between core powers; the emergence of geopolitical rivalries over this form of control has implications for international security.'
 'All of these options.'
 'United by common insecurities concerning the production and supply of energy resources, international actors are forced into negotiation and cooperation between states increases.'
 ""By virtue of their energy resources to which the global 'North' desires access, states in the 'South' gain power in the international arena and have redressed the global North-South divide and associated inequalities.""]",0,3.5114221118379057e-12,0.999999999879796,,2.8823507921814243e-13,,,,,1.1628233025125807e-10,3.0379753841119734e-14,,,,2.6810038666070632e-14,,,,,,3.4424771069615807e-14,,,3.0379753841119734e-14,,,,,,,,,,,,,,,,,,,,,,,,
In what ways did strategic circumstances have an effect on environmental security perspectives?,security_studies,"['The end of the Cold War created the space for security policy and security studies to be re-considered in light of growing environmental consciousness underlined by multilateralism in policy action.'
 'In 1973 the Organization of Petroleum Exporting Countries (OPEC) restricted oil supplies which underlined the industrial capacity of the military leaving a profound psychological impact requiring that security be linked to national interests: the securing of energy deals and the environment became related to military capability diplomacy.'
 'Ideologically driven military security was replaced by a need to preserve territorial integrity in wake of the collapse of communism. Military security was a high priority given the threat of spill-over. The environment remained a peripheral concern to the security institutions occupied with the new security environment post-Cold War.'
 'The end of the Cold War order created the intellectual space for the broadening of security issues beyond Cold War military mentalities. Research among political and environmental scientists discussed ways in which new security issues could be addressed. The plethora of publications produced, however, had little effect on policy.']",0,1.7569189571944003e-06,1.888865887566452e-05,,0.0019266936584363,,,,,0.9980525326626104,8.136140776026391e-09,,5.591882326096999e-09,,,,,,1.1231595893094181e-07,,,,,,,,,,,,,,,,,,,,,,2.057138545221029e-09,,,,,,,
The following statements define the conceptualization of 'class' within HM; which is incorrect?,security_studies,"['All advocates of HM accept that social class is important.'
 'Within the HM paradigm, the only form of class that matters is social class.'
 'The focus of HM lies predominantly on class and class in relation to capital.'
 'HM regards class as being far more complex than a simple division between a capitalist ruling class and working class.']",1,4.68411847431131e-08,0.998498767237078,,3.844958585180226e-09,,,,,0.0015011819762868,9.042475883314892e-11,,,,1.656187229388832e-12,,,,,,8.410812754862779e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following security sectors are intrinsically linked with energy security?,security_studies,"['Economic and development security.' 'Regime and international security.'
 'Environmental and human security.' 'All of these options.']",3,2.940077738635718e-11,4.2777878680250656e-11,,0.9999999998843732,,,,,4.2777878680250656e-11,9.357622966775333e-14,,,,6.431393940032854e-14,,2.8823507928083706e-13,2.2447770545256442e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the relationship between HM and realism?,security_studies,"['Both HM and realism are based on the notion that there exist within society certain discernable realities.'
 'HM has some aspects in common with realism, liberalism, and social constructivism, but it offers something distinctive in having class conflict within capitalism as its central focus.'
 'Whilst HM recognises the importance of the state as an actor within the international system, it also purports that states prioritize the interests of the ruling-class elite.'
 'All of the above']",3,2.2897348384449483e-11,1.1032560288741082e-09,,0.9999999970535444,,,,,1.8189616818328967e-09,4.193795645191177e-13,,,,2.24477704796175e-13,,3.7010116669539794e-13,3.2661313325163365e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What factors enabled the expansion of transnational crime (TNC) in the 1990s?,security_studies,"['Transnational crime developed as a result of the declining expenditure on defence and the standing down of armies, which reduced the risk of activities.'
 'TNC as a concept emerged in the academic sphere as linked to human security concerns and developmental opportunities in weak states as a means of conflict resolution and peace building in Europe.'
 'Transnational criminal activities have always been a feature of the international system. In the policy community, the growth of interest in TNC is due to the increasing sophistication of intelligence and communications technology, which has enabled the true representation of the scale and the scope of the problem to be known.'
 'International trends such as globalization may have had the unintentional consequence of opening up new spaces for the development of transnational crime.']",3,0.0017007109786178,2.694966265446572e-07,,0.9982920512073168,,,,,6.950409605123544e-06,1.602487120756834e-09,,,,,,1.101372217496786e-09,,,,,,,,,,,,,,,,,,1.5203974482907608e-08,,,,,,,,,,,,,
Why do so many feminist scholars regard the exclusion of women from the military sphere or from armed combat as important?,security_studies,"['Veterans of armed conflict may be rewarded by gaining powerful offices, often in political positions and in state institutions.'
 'Participation in military activity is often regarded as a sign of strength, patriotism and courage.'
 ""The foundations for decisions not to allow female participation are commonly based on arbitrary and discriminatory rationale that can limit women's participation in civil society in other ways.""
 'All of these options.']",3,3.398267806588509e-09,1.6918979161893316e-10,,0.9999999964300772,,,,,1.2917799998798385e-12,3.701011664536294e-13,,,,5.6756852110765696e-14,,4.193795642451582e-13,3.266131330382738e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the context of energy security and the production of oil, which of the following does not define the term 'stability'?",security_studies,"['The absence of challenges to the regime of oil-producing states.'
 'A political and economic situation in which the status quo of production, exportation and supply is maintained.'
 'The promotion of human security and the affiliated environmental security as a priority within oil-producing states.'
 ""The security of regimes deemed 'friendly' by North American, European, and international oil company interests.""]",2,0.9999999984471918,2.789468088047167e-10,,2.289734841687613e-11,1.361526105736177e-13,,,,1.2501528642257806e-09,5.384940208445857e-13,,,,1.0603575973194948e-13,,,,,,3.037975380191811e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In what ways is the case for humanitarian intervention, as outlined in this chapter, limited?",security_studies,"['It is not self-evident that individuals do have universal and fundamental human rights.'
 'Advocates of humanitarian intervention exaggerate the extent of global consensus about the use of force to protect human rights.'
 'Any norm endorsing the use of force to protect individual rights could be abused by powerful states.'
 'All of these options.']",3,4.75219306231456e-13,3.0988191384240894e-12,,0.999999999996139,,,,,7.287724095119484e-14,8.703945205890132e-15,,,,,,1.0603575990505053e-13,9.35762296794109e-14,,,,5.9821282231923706e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is not applicable to the Securitization process?,security_studies,"['Securitization reveals the power of the securitizing actor.'
 'Where the securitizing actor is a democratic state, the relevant audience is usually the wider population who have the right to reject the speech act.'
 'The adoption of extraordinary measures can retrospectively convince an audience of the existential threat.'
 'Within authoritarian and other undemocratic regimes, the relevant political decision-making is often dominated by the military and political elite.']",2,7.484570256714994e-05,6.143709392229242e-06,,9.42168350150191e-07,,,,,0.9999180642441732,3.397989639572445e-09,,5.904820594722603e-10,,,,,,,,1.4929724524692062e-10,,,,,,,,,,3.7748255142993517e-11,,,,,,,,,,,,,,,,,
"During the 20th century, how has the focus of security studies changed regarding military security?",security_studies,"['Security studies has always favoured a wide range of subjects when considering the field of security. Different types of security, most notably of human security and economic security, have enjoyed a great deal of attention in traditional security studies, alongside military security. After the Cold War this approach was broadened to include other types of security such as environmental and personal security.'
 'Military security has emerged since the Cold War as the dominant sector within security analysis; both scholars and practitioners recognise the paramount importance of pursuing military security, based on the idea that military capabilities pose the greatest threat to human and state survival.'
 'Prior to the Cold War the focus of security studies lay in the military sector, although environmental security was rapidly emerging as a serious threat to security, forcing analysts to reconsider the state-centric frameworks they had previously employed.'
 'During the Cold War most security analysts agreed that military security should be the focus of security studies; as a result, there was not much discussion about what security entailed, other than the military sector. Following this period security studies have been broadened to include the wider range of sectors that we see today, including environmental and political security.']",3,2.1240481395023182e-06,0.0002166588003903,,0.939707517759752,,,,,0.0600736329514581,5.660396561670197e-08,,,,,,,,9.836294320147708e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not a purported limitation of the liberalist approach?,security_studies,"['Liberalism poses great difficulty in defining when the use of force would be justified or necessary.'
 'Liberalism is often internally inconsistent, limiting its applicability for use as a guide.'
 'A failure to address the importance of a wide range of actors in the decision-making processes of the international system.'
 'Liberalist influence merely reflects Western dominance, potentially undermining its relevance in the future.']",2,0.6620115636814835,0.0006036761977312,,0.1477147612590432,,,,,0.189669513063724,4.857980180014563e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements is not applicable to the development of peace studies in the twentieth century?,security_studies,"['Within peace studies, one of the later developments was a major interest in conflict prevention, conflict resolution, and peacekeeping.'
 ""At the height of the Cold War, peace studies was frequently labelled 'appeasement studies' and was bitterly opposed by critics.""
 'By the 1970s, prominent peace researchers were calling for a broadening in the remit of the field but were largely unsuccessful in their attempts.'
 'Peace studies sought to provide a more global and non-state centric view of major issues of conflict.']",2,0.9999997821377004,8.7642490125023e-08,,1.2751907068766897e-07,6.560200761772702e-12,,,,2.6465738783920827e-09,4.2777882560571595e-11,,,,,,,,,,2.4133629902134115e-12,,,,,,,,,,2.4133629902134115e-12,,,,,,,,,,,,,,,,,
"In the contemporary context, how can peace studies best be defined?",security_studies,"['Following the expansion of peace studies in the decline of the Cold War, the field has emerged as an independent and autonomous area of study that addresses issues surrounding conflict resolution, economic security and the cessation of violence at both an international and sub-national level. As a field of research, peace studies are best defined by their distinction from development studies and international relations.'
 ""Peace studies are best defined by its research agenda that focuses on the search for non-violent measures by which to end conflict. Peace researchers adopt a 'top-down' approach to conflict resolution that prioritises the issues surrounding violence and the use of force, focusing on instigating agents in an attempt to secure that actor as the referent object to security.""
 'Peace studies cannot be defined as a specific academic approach due to the shifting nature of its research agenda and the diversity of interests addressed by peace researchers. However, following the Cold War the success of the field has been such that it boasts a number of research institutes and attracts global and interdisciplinary attention.'
 'Peace studies is defined by a concern with the underlying causes of phenomena in IR, a global outlook, an interdisciplinary approach, the search for non-violent transformations, an analytical and normative approach, and the adoption of multi-level analysis that links theory and practice within research.']",3,0.0943034901592146,0.004143370094668,,0.4226389755631218,,,,,0.4789125891688268,1.5750141686463775e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What role does 'Information' play in the economic science of decision making?,security_studies,"[""Information is not important to decision making in economic theory; rather, it is an actor's perceptions of situations that will inform their decision making process.""
 'Information has no special significance to economic decision making, which is guided more by external forces that coerce actors than their own rational choices.'
 ""Information plays a significant role in decision making because, although theory asserts that actors act in their own best interest, 'rational action' depends on the information available to them at the time.""
 'Information has become an important resource in the 21st century and can be sold and traded as a market commodity.']",2,0.9999999999979242,1.6586783587381486e-12,1.6261110444451934e-14,1.5428112030281053e-13,1.3615261079451165e-13,4.4202281031719286e-14,,1.6261110444451934e-14,,,,,,5.008774637311782e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following are frequently cited criticisms of HM?,security_studies,"['HM pays insufficient attention to the role of the labourer, instead focusing on the capitalist as the source of power and most important actor. HM can also allude to capitalist power structures, to the detriment of supporting the human security of workers.'
 'HM too often accuses capitalism of acting solely in self-serving ways, and explains everything in terms of class struggle, to the detriment of wider analysis. Some versions of HM claim to have uncovered objective laws of history which are widely disputed in their accuracy.'
 'HM is inevitably reductionist and oversimplifies the complexities of capitalism, recognising only its negative aspects and harmful effects.'
 'All of these options.']",1,3.0988191382777087e-12,2.0206839087326166e-11,,0.9999999999387312,,,,,3.775134543738053e-11,1.201542573004976e-13,,,,,,3.442477107976608e-14,4.4202281030076745e-14,,,,,,,,,,,,,1.2664165547279172e-14,,,,,,,,,,,,,,,,,
What is the referent object in contemporary cyber-security?,security_studies,"['Digitalised sensitive information'
 'Critical Information Infrastructures' 'Government IT systems'
 'Telecommunication networks']",1,9.83306453416736e-06,0.9706780584154382,,1.5893668538309996e-07,,,,,0.0293119422072017,6.162644071129331e-09,,,,,,,,1.213496567733271e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following phrases is not likely to indicate legitimacy in the new terminology of RMA?,security_studies,"['Surgical strike.' 'Indiscriminate attack.' 'Smart bomb.'
 'Precision target.']",1,5.6756852316698644e-14,0.9999999999999134,,1.2664165546945744e-14,,,,,1.7139084312512545e-15,,,,,,,,,,,2.200701987602025e-15,,,2.200701987602025e-15,9.862862044907252e-15,,,1.039538011493868e-15,,,,,,,,,,,,,,,,,,,,
Which of the following did not emerge as a trend of the defence trade in the 20th century?,security_studies,"['The arms trade shifts from being a private to a government controlled enterprise.'
 'An increase in the defence trade.' 'A decrease in the arms trade.'
 'A growth in the number and variety of weapons traded.']",2,0.9999999999988076,1.0060392790877697e-12,2.087967911240088e-14,3.9008376094224965e-14,4.4202281027819984e-14,4.4202281027819984e-14,1.4350379598548926e-14,,,,,,,2.3659776086748784e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements concerning the study of identity is not applicable to social constructivism?,security_studies,"['Identity defines actors, and tells us who they are, what their preferences and interests are, and how those preferences might inform their actions.'
 'Identity is of fundamental importance to the social constructivist perspective because it is the basest principle in defining behaviour; it is a naturally bestowed quality comprised of certain unalterable behavioural characteristics.'
 'The identities, interests and behaviour of political agents are socially constructed by shared ideas, collective meaning, and interpretations and assumptions about the world.'
 'Actors form their identity through interaction, which in turn defines the types of relationship formed between these actors.']",1,1.4350379597326075e-14,0.9999999999999696,,4.111452591398524e-15,,,,,8.0959301729490825e-16,,,,,,,,,,,5.9821282220946075e-15,,,1.334793228224412e-15,2.2007019873600786e-15,,,1.0395380113795804e-15,,,,,,,,,,,,,,,,,,,,
Which of these are characteristics of realist theory?,security_studies,"['The international system is anarchic.'
 'States assess one another in terms of their power and capabilities rather than their internal variations.'
 'States are unitary and rational actors; sovereign states will act in a way suited to achieving their goals.'
 'All of these options.']",3,6.10193667715395e-13,1.006039279208898e-12,,0.9999999999982152,,,,,3.442477108215329e-14,9.862862045850876e-15,,,,,,5.67568523221288e-14,6.431393940976256e-14,,,,3.202002498400508e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements defines the Copenhagen School's view of security?,security_studies,"['Security is a socially constructed concept, relative to the society in which it exists, and what will constitute an existential threat is accordingly subjective.'
 'Security is best defined using the traditional paradigm, with the state as the referent object to be secured using extraordinary measures where possible.'
 'To best understand security one must adopt a constructivist approach, threats exist only when articulated by a wider audience and may warrant the implementation of emergency measures.'
 'Security exists as an empirically verifiable and independent condition that changes only slightly, if at all, with regards to the social context in which it is applied.']",0,3.4663276962929525e-07,1.416608902556698e-09,,,,,,,0.999999651627169,1.0815942442296203e-11,,2.789468321116144e-10,,1.7832474367282042e-11,,,,7.433681280610424e-12,,,,,,,,,,,8.423464443715526e-12,,,,,,,,,,,,,,,,,,
Which of these best describes the concept of hegemonic masculinity?,security_studies,"['The inherent promotion of feminine characteristics in society.'
 ""Social dominance of men over women that results from the designation of 'masculine' characteristics as more valued than 'feminine' characteristics.""
 'All of these options.'
 'The acknowledgement that gender identity exists in many forms and is not binary.']",1,1.3176514266764208e-10,0.9999999998679736,,1.542811202801838e-13,,,,,2.6810038671039983e-14,,,,,2.6810038671039983e-14,,,,,,1.6261110442067094e-14,,,1.6261110442067094e-14,2.0879679111180588e-14,,,,,,,,,,,,,,,,,,,,,,,
How do institutional constraints affect behaviour?,security_studies,"['Institutional constraints limit the amount of resources to be spent on some good and force actors to choose how to manage the limited wealth available to them.'
 ""Institutions are the social norms and expectations that affect an actor's goals and ambitions.""
 'Institutional constraints refer to tools of the state such as schools, prisons, and hospitals; the provision of resources for these institutions makes demands on political leaders.'
 'Institutions are humanly devised constrains that structure human interaction, they are man-made rules that guide decision making and govern behaviour.']",3,3.135801294158339e-07,3.82018803280501e-06,,0.9046466771341848,,,,,0.0953491526042715,2.2715645669995133e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3777735554020568e-08,,,,,,,,,,
Which of the following policies is not true of economic policy?,security_studies,"['Economic policies must take into account the incentives of not only the leaders, but the populations intended to influence.'
 'Policymakers can incentivize security-promoting behaviours in others through the use of sanctions and aid.'
 'Trade policies can entice leaders to change behaviours in exchange for access to markets or trade preferences, and advance security.'
 'Concern with poverty is a humanitarian issue that has no direct link to economic science, although it might be alleviated through aid.']",3,1.879528816277084e-12,3.5114221128870325e-12,,0.9999999999942484,,,,,9.357622967535757e-14,6.431393940555489e-14,,,,,,1.2015425730096882e-13,7.287724094803811e-14,,,,9.862862045205607e-15,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is not an assertion made in the realist case against humanitarian inventions?,security_studies,"['Armed force should only ever be used in the national interest and that humanitarian intervention is therefore imprudent.'
 'Foreign intervention reduces the proportion of wars that end in outright victory, it leaves behind an unstable peace that is likely to reignite.'
 'Foreign intervention tends to prolong wars; it is inappropriate and does not work.'
 'Humanitarian intervention prioritises the human as the referent object of security, undermining the state-centric approach of realism.']",3,1.5526102424174554e-06,1.891466490157701e-05,,0.9994267607293462,,,,,0.0005527672030502,4.360958274302538e-09,6.220572889203714e-11,,,,,,,,,9.050880147798144e-11,,,,,,,,,,2.7878673528785566e-10,,,,,,,,,,,,,,,,,
"Why, in the contemporary studies of security, is the subject of energy security so important?",security_studies,"['There exists an array of contemporary challenges to energy security, ranging from resource scarcity concerns to dangers of political instability.'
 'The existence of reliable supplies of energy determines the ability of a nation to achieve economic development.'
 'Energy security encompasses a broad range of issues that are both contemporary and fundamental to security, ranging from the local and individual to the global scale.'
 'All of these options.']",3,4.193795657986821e-13,2.7346982913357866e-12,,0.9999999999707272,,,,,2.5946094980334973e-11,3.0379753851586403e-14,,,,4.6588861446671206e-15,,7.28772409513724e-14,6.431393940849738e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a legitimate threat to societal security?,security_studies,"['Political policies designed to alter demographic characteristics of a state.'
 'All of these options.'
 'Legislation that criminalises certain cultural behaviours or practice.'
 'The use of military force to conduct ethnic-cleansing through displacement and killing.']",1,3.098819138341689e-12,0.9999999999957406,,6.914400106092007e-13,,,,,3.266131342386788e-13,,,,,8.703945205658687e-15,,,,,,8.25807328454289e-14,,,4.4202281030989375e-14,,,,,,,,,,,,,,,,,,,,,6.7786393419775845e-15,,,
Which of the following statements best describes the orientation of military security within the traditional conception of security studies?,security_studies,"['Strategic studies are the central concern of international relations, within strategic studies, the subset of security studies focuses on military security.'
 'Military security is a central concern within international relations and dominates the scholarship. Within international relations, strategic studies form a subset of academic interest, within which security studies feature occasionally.'
 'Strategic studies are best conceptualized as a subset of international relations, and within strategic studies, military security is one of the dominant concerns. Security studies are a subset of strategic studies.'
 'Military security is the central concern of strategic studies; and strategic studies are a subset of security studies. Military security is one of the central concerns of security studies, and security studies is a subset of international relations.']",3,0.1823799265066659,0.0002419779361549,,8.280029648162887e-06,,,,,0.8173697674884688,3.834414441188816e-08,,9.694917974580626e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of these statements cannot be applied to the initial development of peace studies?,security_studies,"['Mathematicians and natural scientists entered the field, which was otherwise a social-sciences area of study, adding to the interdisciplinary nature of the field.'
 'Now of fundamental importance to peace studies as a field of research, the creation of journals was not a prominent feature of the peace studies until late in the twentieth century.'
 'Most early work was carried out in North America and Scandinavia.'
 'The establishment of research institutes across the world has been one of the lasting successes of peace studies.']",1,5.3157646420790257e-08,0.9999956486211122,,3.7266349950720817e-06,,,,,5.714979861124293e-07,7.052852503055649e-11,5.789333880078844e-12,,,,,,,,,7.433651847712696e-12,,,,,,,,,,4.508737759267218e-12,,,,,,,,,,,,,,,,,
"Since the end of the Cold War, how has the use of coercive diplomacy by Western powers changed?",security_studies,"['Coercive diplomacy has proven a successful policy tool and one that is integral to conflict management. The successes of the past policy initiatives in the post-9/11 community have reinforced the trend toward coercive diplomacy by increasing American political will to counter mass casualty terrorism in failing states.'
 'The favourable geo-political environment, characterized by an overwhelmingly Western military superiority and a low risk of hostile great power intervention, has generated pressures and incentives for Western policymakers to promote their policy agenda, and to manage armed conflicts from weak states and failing states.'
 'The demise of the ideological bipolar division of international society in the Cold War, rather than resulting in a reduction of hostilities, has left an unstable legacy where a policy of force and mass retaliation continues to pose a very real threat. Risk of uncontrollable escalation still remains but in a different form; mass casualty terrorism, contagion from failing states and non-state actors seeking to acquire WMD are the primary concern of states and require responses in the form of military intervention.'
 'The hostile geopolitical environment has encouraged states to pursue military strategies in order to secure their interests. The use of violence rather than diplomacy or incentives has become the primary response to threats, whether these are posed by other states, resource scarcity, pandemic diseases, or other non-traditional threats.']",1,0.0674217141121673,0.8213640096376014,,5.425628892232778e-05,,,,,0.111159605709431,4.142518778876607e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To what extent and to what effect has the environment been securitized?,security_studies,"['The securitization of environmental security concerns has raised the profile of environmental security issues among both foreign and domestic security policymakers and agencies. It is now uniformly recognized that environmental change can be considered as an issue of high security politics.'
 ""Environmental security has led to a 'trading off' of military security for environmental security with the allocation of resources committed to solving environmental problems. A particular emphasis has been placed on environmental change as the cause of violent conflict and addressing environmental threats from other factors than domestic causes.""
 ""The environment has been 'securitized' in the sense that environmental security has been used to make them matters of 'high politics'. This has to some degree raised the profile of critical issues among policymakers and agencies so that the environment can be considered an issue of security. But whilst the issue has been broadened there has been little change in policy and action in terms of the referent object of environmental security.""
 ""The national security perspective on environmental issues has undermined the utility of the concept of environmental security. The militarization of environmental problems has decreased the ability of policymakers to 'capture' the critical nature of environmental problems and the environmental dimensions to social vulnerability. The reconciliation of environmental security with national security, and global levels of international change cannot be made without trading in the security interests of the state.""]",2,0.904623504598796,2.491010834773824e-05,,4.905091164271115e-06,,,,,0.0953466544124619,2.271507856231151e-08,,,,,,,,,,,,,,,,,,,3.074151590972337e-09,,,,,,,,,,,,,,,,,,
Which of the following is not a common criticism of Securitization?,security_studies,"['A loose and broad conceptualization of security can lead to vagueness and a lack of conceptual and analytical coherence.'
 'When the securitizing actor is not the state, it can be unclear what would constitute an extraordinary measure.'
 'The model relies on a definition of distinctive political and security realms, which are not always clearly defined.'
 'The theory of securitization lacks coherence in terms of its employment as a tool for analytical studies in security.']",3,0.0001069877250561,0.9823607861260084,,0.0066190944332675,,,,,0.0109130407619243,8.609651098252156e-08,,,,,,,,,,4.857232774378434e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of these statements characterizes the traditional concept of national security, as opposed to human security?",security_studies,"['All of these options.'
 'In the national security approach, real threats are only those posed to human life, human rights, or human dignity.'
 'The traditional interpretations of security and threats are important boundaries that define human security.'
 'The concept of national security is too narrow to be useful when analysing the broad threats that currently exist.']",3,0.0002033770201742,0.0001794795903606,,6.602685140355517e-05,,,,,0.9995510827301752,3.222742434231086e-08,,8.58831768198274e-10,,,,,,3.1594655094506276e-10,,4.056834017282889e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
