question,subject,choices,answer,a,d,b,ÃÂ°,c,<|end|>,i,e,ÃÂ±,f,s,n,ÃÂ,ÃÂ´,t,',cj,ci,ad,aa,q,Ã¢ÂÂ,bb,ÃÂ­a,ai,aie,ÃÂ§,ab,p,g,apart,k,bd,h,cc,cs,r,ÃÂ­d,ÃÂ¯,v,the,l,gold,'b,ac,be,m,ser,bfd,x,mar,j,y,rob
"This question refers to the following information.
""Let a woman retire late to bed, but rise early to duties; let her nor dread tasks by day or by night. Let her not refuse to perform domestic duties whether easy or difficult. That which must be done, let her finish completely, tidily, and systematically, When a woman follows such rules as these, then she may be said to be industrious.
Let a woman be correct in manner and upright in character in order to serve her husband. Let her live in purity and quietness of spirit, and attend to her own affairs. Let her love not gossip and silly laughter. Let her cleanse and purify and arrange in order the wine and the food for the offerings to the ancestors. When a woman observes such principles as these, then she may be said to continue ancestral worship.
No woman who observes these three fundamentals of life has ever had a bad reputation or has fallen into disgrace. If a woman fail to observe them, how can her name be honored; how can she but bring disgrace upon herself?""
ÃÂ© The East Asian Library and the Gest Collection, Princeton University.
Ban Zhao, Lessons for a Woman, ca. 80 C.E.
Which of the following is expressed as an expectation for women in ancient China, according to the passage?",high_school_world_history,"['That they obediently fulfill their obligations within the home'
 'That they collaborate with their husbands on domestic tasks'
 'That they pursue education in order to find meaningful employment'
 'That they speak their minds boldly']",0,0.9999999999999764,,3.37488580401519e-16,1.6261110446177636e-14,6.579979789926639e-18,6.7786393428089e-15,,,,,,,,,,,,,,,,,,3.1081623704731924e-18,1.2293020642516168e-17,5.806811783679496e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The following poem refers to an incident in Sharpeville, South Africa, in 1960. To protest the requirement that they carry papers documenting their identity and residence, black South Africans gathered in front of police stations without their papers. Though other protests ended peacefully, in Sharpeville, police fired into the crowd.
What is important
about Sharpeville
is not that seventy died:
nor even that they were shot in the back
retreating, unarmed, defenceless
and certainty not
the heavy caliber slug
that tore through a mother's back
and ripped through the child in her arms
killing it
Remember Sharpeville
bullet-in-the-back day
Because it epitomized oppression
and the nature of society
More clearly than anything else;
it was the classic event
Nowhere is racial dominance
more clearly defined
nowhere the will to oppress
more clearly demonstrated
What the world whispers
apartheid declares with snarling guns
the blood the rich lust after
South Africa spills dust
Remember Sharpeville
Remember bullet-in-the-back day
And remember the unquenchable will for freedom
Remember the dead
and be glad
Ã¢ÂÂDennis Brutus, 1973
The discriminatory system referred to in the poem was known as",high_school_world_history,['Jim Crow.' 'spheres of influence.' 'Boer division.' 'apartheid.'],3,1.8795288165234965e-12,0.9999999999917956,7.835041784999416e-13,,5.109089028020956e-12,3.70101167856198e-13,,4.959358486150626e-15,,,,,,3.0379753854179345e-14,,,,,,,,,,,,,,,,,2.68100386775957e-14,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Both authors below were speaking of the French Revolution.
It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other wayÃ¢ÂÂin short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.
There were a king with a large jaw and a queen with a plain face, on the throne of England; there were a king with a large jaw and a queen with a fair face, on the throne of France. In both countries it was clearer than crystal . . . that things in general were settled for ever.
Ã¢ÂÂA Tale of Two Cities, by Charles Dickens
Bliss was it in that dawn to be alive. But to be young was very heaven.
Ã¢ÂÂThe Prelude, by William Wordsworth
The intellectual foundations of the eighteenth-century political revolutions were based on",high_school_world_history,['the Reformation' 'mercantilism' 'the Enlightenment' 'the Reconquista'],2,2.2897348448500547e-11,2.4616969509601434e-10,4.277787867482812e-11,,0.9999999996635894,1.1399918526482998e-12,,3.098819137645236e-12,,,,,2.020683908320192e-11,,,,,,,,1.2015425727597397e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
While some theorists in the Middle Ages argued that the jihad was a defensive warÃ¢ÂÂ¦ most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.
Robert Irwin, ""Islam and the Crusades,"" 1995
It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.
Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185
The first passage tends to support which of the following traditional historical assumptions?",high_school_world_history,"['That the majority of Muslims were more peaceful than Christians during the crusading era'
 'That most Muslims were interested only in protecting their own territory during the crusading era'
 'That many Muslims during the crusading era were driven by Islamic faith to be inherently violent'
 'That the ideology of holy war was taken seriously by Muslim elites during the crusading era']",3,2.020683905176395e-11,0.9999999980995392,5.492788340500655e-11,,1.818961684091147e-09,5.789356317712187e-12,,7.287724081949494e-14,,,,,,4.1937956503977954e-13,8.258073269838924e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""From the confines of Jerusalem and the city of Constantinople a horrible tale has gone forth and very frequently has been brought to our ears, namely, that a race from the kingdom of the Persians, an accursed race, a race utterly alienated from God, a generation forsooth which has not directed its heart and has not entrusted its spirit to God, has invaded the lands of those Christians and has depopulated them by the sword, pillage and fire; it has led away a part of the captives into its own country, and a part it has destroyed by cruel tortures; it has either entirely destroyed the churches of God or appropriated them for the rites of its own religionÃ¢ÂÂ¦.The kingdom of the Greeks is now dismembered by them and deprived of territory so vast in extent that it cannot be traversed in a march of two months. On whom therefore is the labor of avenging these wrongs and of recovering this territory incumbent, if not upon you? You, upon whom above other nations God has conferred remarkable glory in arms, great courage, bodily activity, and strength to humble the hairy scalp of those who resist you.
Let the deeds of your ancestors move you and incite your minds to manly achievements; the glory and greatness of king Charles the Great, and of his son Louis, and of your other kings, who have destroyed the kingdoms of the pagans, and extended in these lands the territory of the holy church. Let the holy sepulchre of the Lord our Savior, which is possessed by unclean nations, especially incite you, and the holy places which are now treated with ignominy and irreverently polluted with their filthiness. Oh, most valiant soldiers and descendants of invincible ancestors, be not degenerate, but recall the valor of your progenitors.
Jerusalem is the navel of the world; the land is fruitful above others, like another paradise of delights. This the Redeemer of the human race has made illustrious by His advent, has beautified by residence, has consecrated by suffering, has redeemed by death, has glorified by burial. This royal city, therefore, situated at the center of the world, is now held captive by His enemies, and is in subjection to those who do not know God, to the worship of the heathens. She seeks therefore and desires to be liberated and does not cease to implore you to come to her aid. From you especially she asks succor, because, as we have already said, God has conferred upon you above all nations great glory in arms. Accordingly undertake this journey for the remission of your sins, with the assurance of the imperishable glory of the kingdom of heaven.""
Pope Urban II, Speech at the Council of Clermont as recorded by Robert the Monk, 1095 C.E.
Which of the following events most directly inspired Urban's invocation of Constantinople in the first paragraph?",high_school_world_history,"['The conquest of Constantinople by the armies of the Abbasid Caliphate'
 'The invasion of Anatolia by the Seljuk Turks'
 'The invasion of the Balkans by the Avars and Bulgars'
 'The conversion of the people of Constantinople to Catholic Christianity']",1,3.775134544053936e-11,7.433680671908818e-12,0.9999999999539044,,4.752193062487716e-13,3.7010116783719314e-13,,4.111452592302813e-15,5.6756852322942055e-14,,,,,,,,,,,,,4.111452592302813e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Oh, shame on you, poor Winter King!
What's this that you have done?
Is 't not a very naughty thing
To snatch the kaiser's crown?
Now you will have to stay away
Alike from Rhine and Prague,
And more than that-shame and dismay
Your days and nights will plague.
Right well you knew, and all the world,
Right well they know this thing,
That Ferdinand alone can be
Bohemia's lawful king.
So come, dear Fritz, rouse up and go
To Ferdinand, your king,
And beg him graciously to show
Full pardon for your sin.
""Poor Winter King,"" seventeenth-century song
Which of the following is an important underlying issue in this song?",high_school_world_history,"['Rules of royal succession' 'Religious conflict' 'Military stalemate'
 'Social class conflicts']",1,0.996827315150164,9.70530762031663e-10,0.0031726832609781,7.03050125958406e-11,4.5844627039000675e-10,2.7531838516114398e-11,,,,,,,,,,,,,,,,,,,,,,6.204395585200027e-11,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Al-Zawawi also said 'This sultan Musa told me that at a town called ZKRY he has a copper mine from which ingots are brought to BYTY. ""There is nothing in my kingdom, Musa said, on which a duty is levied except this crude copper which is brought in. Duty is collected on this and on nothing else. We send it to the land of the pagan Sudan and sell it for two-thirds of its weight in gold, so that we sell 100 measures of this copper for 66 2/3 measures of gold.' He also stated that there are pagan nations in his kingdom from whom he does not collect the tribute (jizya) but whom he simply employs in extracting the gold from its deposits. The gold is extracted by digging pits about a man's height in depth and the gold is found embedded in the sides of the pits or sometimes collected at the bottom of them.""
From N. Levtzion & J.F.P. Hopkins, eds. Corpus of Early
Arabic Sources for West African History. Cambridge
University Press, 1981. Reprinted with permission of
Cambridge University Press.
Al' Umari, ca. 1300Ã¢ÂÂ1384
Which of the following statements about the period 600Ã¢ÂÂ1450 C.E. is supported by the passage?",high_school_world_history,"['Religions were often spread through warfare during the period.'
 'International trade connections were still being developed in the period.'
 'Diseases spread along trade routes.'
 'Nomadic migrations created powerful empires during the period.']",1,0.0002305066645091,4.690085701637056e-08,0.999769428391834,,1.7253861069644123e-08,2.93940192722731e-11,,6.690047950140385e-10,,9.053995341987691e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
In fact, the peculiar aggravation of the Cawnpore massacres was this, that the deed was done by a subject race Ã¢ÂÂ by black men who dared to shed the blood of their masters, and that of poor helpless ladies and children. Here we had not only a servile war, but we had a war of religion, a war of race, and a war of revenge, of hope, of national promptings to shake off the yoke of a stranger, and to re-establish the full power of native chiefs, and the full sway of native religions. Whatever the causes of the mutiny and the revolt, it is clear enough that one of the modes by which the leaders, as if by common instinct, determined to effect their end was, the destruction of every white man, woman or child who fell into their hands.
British journalist William Howard Russell, My Indian Mutlny Diary, 1860
Violence, it must be emphasized, was an essential component of the British presence in India. A dominant power is always uneasy with violence directed against it. The right to violence is, therefore, everywhere a privilege that authority enjoys and refuses to share with those under it: power always insists on violence as its exclusive monopoly. British rule in India, as an autocracy, had meticulously constructed a monopoly of violence. The revolt of 1857 shattered that monopoly by matching an official, alien violence by an indigenous violence of the colonized. The bodies of the British had acquired certain dignities in India that were predestined by birth and by the colour of their skin. This was the condition of their domination, of their superiority: rulers and ruled were arranged hierarchically as superior and inferior races, as civilized and uncivilized. And this superiority manifested itself by denying to the Indians a ""humanness""; by treating them and conceiving of them as animals.
Rudrangshu Mukherjee, ""The Kanpur [Cawnpore] Massacres in India in the Revolt of 1857,"" 1990
The passages above can best be connected with which of the following forms of violence?",high_school_world_history,"['Banditry due to socio-economic breakdown'
 'Killing of civilians during wartime'
 'Collateral damage caused by weapons of mass destruction'
 'State-sponsored campaigns of genocide']",1,2.8451642108715164e-08,5.829128513253264e-05,0.9999416792396156,,8.59165145751454e-10,7.052456980670991e-11,,2.7617818355268297e-11,,,,,,,,,,,,,,,,,,,,,,,,4.847078071949724e-11,1.7831403724232163e-11,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Although in Protestant Europe, [Peter the Great] was surrounded by evidence of the new civil and political rights of individual men embodied in constitutions, bills of rights and parliaments, he did not return to Russia determined to share power with his people. On the contrary, he returned not only determined to change his country but also convinced that if Russia was to be transformed, it was he who must provide both the direction and the motive force. He would try to lead; but where education and persuasion were not enough, he could driveÃ¢ÂÂand if necessary flogÃ¢ÂÂthe backward nation forward.
Ã¢ÂÂRobert K. Massie, Peter the Great: His Life and World
Based on the above passage, what kinds of reforms did Peter the Great embrace?",high_school_world_history,"['Creation of an elected assembly' 'Declarations of human rights'
 'Development of a constitutional monarchy'
 'Reduction of aristocratic influence']",2,1.1861121564108746e-08,0.9999999255650424,2.0611538679402886e-09,,6.023574555347703e-08,2.1724401938359368e-10,,4.847369283634986e-11,,,,6.983297560164464e-12,,,4.235584076136176e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The Romanists have, with great adroitness, drawn three walls round themselves, with which they have hitherto protected themselves, so that no one could reform them, whereby all Christendom has fallen terribly.
Firstly, if pressed by the temporal power, they have affirmed and maintained that the temporal power has no jurisdiction over them, but, on the contrary, that the spiritual power is above the temporal.
Secondly, if it were proposed to admonish them with the Scriptures, they objected that no one may interpret the Scriptures but the Pope.
Thirdly, if they are threatened with a council, they pretend that no one may call a council but the PopeÃ¢ÂÂ¦
Ã¢ÂÂ¦The second wall is even more tottering and weak: that they alone pretend to be considered masters of the Scriptures; although they learn nothing of them all their life. They assume authority, and juggle before us with impudent words, saying that the Pope cannot err in matters of faith, whether he be evil or good, albeit they cannot prove it by a single letter. That is why the canon law contains so many heretical and unchristian, nay unnatural, laws; but of these we need not speak now. For whereas they imagine the Holy Ghost never leaves them, however unlearned and wicked they may be, they grow bold enough to decree whatever they like. But were this true, where were the need and use of the Holy Scriptures? Let us burn them, and content ourselves with the unlearned gentlemen at Rome, in whom the Holy Ghost dwells, who, however, can dwell in pious souls only. If I had not read it, I could never have believed that the devil should have put forth such follies at Rome and find a following.""
Martin Luther, Address to the Nobility of the German Nation, 1520
When the author of the passage above discusses the ""second wall,"" to what is he referring?",high_school_world_history,"['The differing views of Catholics and Reformers on the appropriate definition of ""Holy Ghost""'
 'The differing views of Catholics and Reformers on the appropriate use and interpretation of biblical texts'
 'The differing views of Catholics and Reformers on the appropriate theological belief about the divinity of Jesus'
 'The differing views of Catholics and Reformers on the appropriate method of baptism']",1,7.835041785057441e-13,1.4350379601325534e-14,0.9999999999991912,,7.681204685195283e-15,1.9421126878983e-15,,,9.173890754171065e-16,,,,,,,,,,,,,,9.669209717048867e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""My little homestead in the city, which I recently insured for Ã¯Â¿Â¡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
The inclusion of the author's pending litigation with the British government serves to do which of the following?",high_school_world_history,"[""Highlight the extent of the author's property losses""
 'Express his opposition to the ongoing war' 'Belittle British officials'
 'Place blame on both his home country as well as the Zulus']",3,0.9959295419839904,0.0040701355568404,2.688589328606721e-07,4.042134612581197e-10,5.294151580469626e-08,,,,,,,,,,,,,,1.3122889753690727e-10,,,,,,,,,,,,,,,1.2327814056478186e-10,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Every two months His Majesty sends from Lima 60,000 pesos to pay for the mita of the Indians. Up on the Huanacavelica range there are 3,000 or 4,000 Indians working in the mercury mine, with picks and hammers, breaking up the ore. And when they have filled up their little sacks, the poor fellows, loaded down, climb up those ladders and rigging, so distressing that a man can hardly get up them. That is the way they work in this mine, with many lights and the loud noise of the pounding and great confusion. Nor is that the greatest evil; that is due to thievish and undisciplined superintendents. According to His Majesty's warrant, the mine owners at PotosÃÂ­ have a right to the mita of 13,300 Indians. These mita Indians earn each day 4 reals. Besides these there are others not under obligation, who hire themselves out voluntarily: these each get from 12 to 16 reals, and some up to 24, according to how well they wield their picks or their reputation for knowing how to get the ore out.
Antonio Vasquez de Espinosa, report on mining in Huanacavelica and PotosÃÂ­, 1620s
The third principal reason the local Yakut and Tungus natives are ruined is that from the time they first came under Russian control, they have been forced to pay yasak tribute. Some have paid in sables, others in red foxes, still others in cash. At first there were plenty of furbearing animals there, but now there are no sables and not many foxes in those lands, from the shores of the Arctic Ocean all the way south to the great Lena River. Moreover, almost half the natives cannot hunt because they no longer have horses, many of which have been pawned to the yasak collectors.
Heinrich von FÃÂ¼ch, ""On the Treatment of Natives in Northeast Siberia,"" 1744
According to the second passage, which of the following contributed most to the burden faced by native Siberians attempting to fulfill their tribute obligations?",high_school_world_history,"['Interference by Russian Orthodox missionaries'
 'Native inexperience in hunting deep into the subarctic tundra'
 'Competition from Russian hunters and trappers'
 'Overhunting and depletion of furbearing animals']",3,1.5737102091624114e-11,0.9999999990321776,9.056076980903552e-11,,8.592166610854012e-10,2.12978516889344e-12,,1.9614643290362087e-14,,,,,,1.3615261067712405e-13,2.2226302701931406e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Let a woman retire late to bed, but rise early to duties; let her nor dread tasks by day or by night. Let her not refuse to perform domestic duties whether easy or difficult. That which must be done, let her finish completely, tidily, and systematically, When a woman follows such rules as these, then she may be said to be industrious.
Let a woman be correct in manner and upright in character in order to serve her husband. Let her live in purity and quietness of spirit, and attend to her own affairs. Let her love not gossip and silly laughter. Let her cleanse and purify and arrange in order the wine and the food for the offerings to the ancestors. When a woman observes such principles as these, then she may be said to continue ancestral worship.
No woman who observes these three fundamentals of life has ever had a bad reputation or has fallen into disgrace. If a woman fail to observe them, how can her name be honored; how can she but bring disgrace upon herself?""
ÃÂ© The East Asian Library and the Gest Collection, Princeton University.
Ban Zhao, Lessons for a Woman, ca. 80 C.E.
In what way were women's lives in the period 600 B.C.E. to 600 C.E. generally more restricted than women's lives had been globally before the advent of sedentary societies?",high_school_world_history,"['Women were increasingly thought of as primary earners for the family.'
 'Women were increasingly responsible for the care of their children.'
 ""Women's power increasingly fell within the private sphere.""
 ""Women's power increasingly fell within the public sphere.""]",2,2.0206838130369475e-11,4.691163798997664e-08,5.211412240339267e-10,,0.999999952500086,5.109088785374558e-12,,1.0060392314950652e-12,,,2.734698161689938e-12,,3.7751343649550056e-11,,,,,,,,,,,,,,,,,3.266131187641709e-13,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The passage below is the Chinese emperor's response to English King George III's diplomatic envoys, who were seeking expanded trading privileges (1793).
Strange and costly objects do not interest me. If I have commanded that the tribute offerings sent by you, O King, are to be accepted, this was solely in consideration for the spirit which prompted you to dispatch them from afar. . . . As your Ambassador can see for himself, we possess all things. I set no value on objects strange or ingenious, and have no use for your country's manufactures. It behooves you, O King, to display even greater devotion and loyalty in future, so that, by perpetual submission to our Throne, you may secure peace and prosperity.
According to the passage, what was the Chinese reaction to the British goods?",high_school_world_history,"['Awe at their technological superiority'
 'Fascination with their strangeness' 'Offense at a perceived bribe'
 'Interpreting them as an act of submission']",3,4.363453620307777e-09,0.9999982783846474,1.6373738912180777e-07,,1.553497094522756e-06,7.433665965622736e-12,,8.423447089560919e-12,,,,,,,1.558181034672087e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""To slacken the tempo would mean falling behind. And those who fall behind get beaten. But we do not want to be beaten. No, we refuse to be beaten! One feature of the history of old Russia was the continual beatings she suffered because of her backwardness. She was beaten by the Mongol khans. She was beaten by the Turkish beys. She was beaten by the Swedish feudal lords. She was beaten by the Polish and Lithuanian gentry. She was beaten by the British and French capitalists. She was beaten by the Japanese barons. All beat herÃ¢ÂÂÃ¢ÂÂbecause of her backwardness, because of her military backwardness, cultural backwardness, political backwardness, industrial backwardness, agricultural backwardness. They beat her because it was profitable and could be done with impunity. You remember the words of the pre-revolutionary poet: ""You are poor and abundant, mighty and impotent, Mother Russia."" Those gentlemen were quite familiar with the verses of the old poet. They beat her, saying: ""You are abundant,"" so one can enrich oneself at your expense. They beat her, saying: ""You are poor and impotent,"" so you can be beaten and plundered with impunity. Such is the law of the exploitersÃ¢ÂÂÃ¢ÂÂto beat the backward and the weak. It is the jungle law of capitalism. You are backward, you are weakÃ¢ÂÂÃ¢ÂÂtherefore you are wrong; hence you can be beaten and enslaved. You are mightyÃ¢ÂÂÃ¢ÂÂtherefore you are right; hence we must be wary of you.
That is why we must no longer lag behind.""
Joseph Stalin, speech delivered at the first All-Union Conference of Leading Personnel of Socialist Industry, February 4, 1931
The speech as a whole is best understood in the context of which of the following historical developments?",high_school_world_history,"[""Stalin's drive to motivate Soviet industry for the Winter War with Finland""
 ""Stalin's push to make the Soviet Union a nuclear nation""
 ""Stalin's implementation of five-year plans for the Soviet economy""
 ""Stalin's purges of dissidents and other political prisoners""]",2,2.2897348451331834e-11,1.0261879629405607e-10,4.277787868011765e-11,,0.9999999997764892,2.2447770545186652e-13,,5.008774636722703e-14,,,,,5.4927883497255726e-11,,,,,,,,,,,,,,,,,1.4350379598127103e-14,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""My little homestead in the city, which I recently insured for Ã¯Â¿Â¡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
Which of the following reasons explains why European citizens moved in large numbers to Zulu lands in 1867?",high_school_world_history,"['The British crown offered incentives to those who would establish homesteads in the unsettled lands of South Africa.'
 'The Zulu created attractive trade ports along the Indian Ocean.'
 'The Berlin Conference clarified boundaries, thus making it logistically sound for Europeans to move to the African colonies.'
 'A diamond rush ensued following the discovery of diamonds on Zulu lands.']",3,2.1724399342788292e-10,0.999999999632658,1.7832472901578048e-11,,1.3176514265242082e-10,3.701011677229458e-13,,3.442477107201989e-14,,,,,,5.6756852305421643e-14,3.9008376087438975e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investmentsÃ¢ÂÂ¦The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following most inspired the national plan advanced by Nkrumah in the second paragraph?",high_school_world_history,['Fascism' 'Social Darwinism' 'Classical liberalism' 'Socialism'],3,1.7832472805951688e-11,0.9999999942709468,9.056076937774116e-11,,5.6027964054286484e-09,1.5737102016676397e-11,,1.2917799973830372e-12,,,2.244777042156561e-13,,,6.101936642636222e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Source 1:
""It is impossible to demand that an impossible position should be cleared up by peaceful revision and at the same time constantly reject peaceful revision. It is also impossible to say that he who undertakes to carry out these revisions for himself transgresses a law, since the Versailles ""Diktat"" is not law to us. A signature was forced out of us with pistols at our head and with the threat of hunger for millions of people. And then this document, with our signature, obtained by force, was proclaimed as a solemn law.""
Adolf Hitler, speech to the Reichstag, September 1, 1939
Source 2:
""We shall not flag or fail. We shall go on to the end. We shall fight in France, we shall fight on the seas and the oceans, we shall fight with growing confidence and growing strength in the air, we shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.""
Winston Churchill, speech before Parliament, June 4, 1940
Winston Churchill's speech in Source 2 is best understood in the context of which of the following?",high_school_world_history,"['British support for growing resistance movements in Eastern Europe'
 'British trade deals with American manufacturers of military hardware'
 'British appeasement of the Axis powers'
 'British fears about a possible invasion attempt by Nazi Germany']",3,2.2897348454011376e-11,0.9999999998938324,9.545034921821752e-12,,7.052879850359308e-11,3.0988191383910454e-12,,3.0379753851188426e-14,,,,,,5.6756852320268776e-14,1.0498961996535452e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
Which of the following later developments would most undermine the hopes expressed by Mao in the second-to-last line of the passage?",high_school_world_history,"['The development of Special Economic Zones along the Chinese coast brought economic growth to China.'
 'Political friction with the Soviet Union pushed China into the orbit of the United States during the Cold War.'
 'The cooperatives of peasants on the farmland and an emphasis on countryside steel production brought famine and poverty to the Chinese peasantry.'
 'Opposition voices in the Communist Party led by men such as Deng Xiaopeng were rooted out and silenced during the Cultural Revolution.']",2,3.466327700755915e-07,1.8189618387308767e-09,4.058652463799029e-10,,0.999999651107206,2.7346985188785505e-12,,2.7346985188785505e-12,,,3.266131614242672e-13,,2.9400779836406766e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
By what principle of reason then, should these foreigners send in return a poisonous drug? Without meaning to say that the foreigners harbor such destructive intentions in their hearts, we yet positively assert that from their inordinate thirst after gain, they are perfectly careless about the injuries they inflict upon us! And such being the case, we should like to ask what has become of that conscience which heaven has implanted in the breasts of all men? We have heard that in your own country opium is prohibited with the utmost strictness and severity. This is a strong proof that you know full well how hurtful it is to mankind. Since you do not permit it to injure your own country, you ought not to have this injurious drug transferred to another country, and above all others, how much less to the Inner Land! Of the products which China exports to your foreign countries, there is not one which is not beneficial to mankind in some shape or other.
Lin Zexu, Chinese trade commissioner, letter to Queen Victoria, 1839
Which of the following most likely prompted the complaint voiced in the passage?",high_school_world_history,"['British sale of opium in China' 'British exports of tobacco to China'
 'British introduction of gunpowder to China'
 'British encouragement of heroin use to China']",0,0.9999999999999164,5.175555005801347e-17,1.512518882149296e-15,7.28772409581896e-14,2.797878602062078e-16,8.703945206725534e-15,,,,,,,,,,,,,,,,,,,2.9783262686199284e-16,3.1391327920477134e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
