question,subject,choices,answer,b,a,c,<|end|>,d,б,e,а,с,g,aa,cc,cj,​,f,ц,bb,ba,s,'b,ad,ai,ci,3,ac,be,j,aac,д,',ab,n,t,all,bcc,i,­a,2,ch,civil,cd,aio,q
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,5.905303974981128e-10,7.582560397142919e-10,0.999999995948402,1.2256067394366047e-11,2.646573628169685e-09,,1.006039275200948e-12,,4.2777878516103235e-11,,,,,,,,,,1.9810087900103184e-13,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,8.095930175182304e-16,0.9999999999963278,5.923109047024098e-16,1.5428112031861143e-13,,,,3.5114221133633718e-12,,,,,,,,,,,,,,3.202002498625384e-15,,,,,,,,,,,,,,,1.6100679690506977e-15,,,,,,
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,6.914400106866259e-13,1.435037960118479e-14,0.9999999999894442,5.384940217696447e-13,6.560200168083622e-12,,5.2792096282819265e-15,,2.7346982915626288e-12,1.1176086870774632e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,3.331544533033909e-11,4.8473686929825426e-11,0.9999999972600833,3.098819130227275e-12,2.6465736316542716e-09,,1.6261110401602877e-14,,8.423463731378064e-12,,,,,,,,,,1.5275899527117828e-14,,,,,,,,,,,,,,,,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.9999999999987047,1.2917800047843113e-12,3.8242466280921475e-16,1.5125188821474758e-15,1.2415511035969649e-16,1.0395380116688661e-15,,,,,,,,,,,8.99376602901709e-18,,,,,,,,,,,,,,,,,,,,,,,,,,
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.9999999967241103,3.7751345318650276e-11,1.4166087819848506e-09,2.4133627638971643e-12,1.8189616815716119e-09,1.361526103612441e-13,,,,,,,,,,,,,,1.842625208664314e-14,,,,,,,,,,,,,,,,,,,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,1.2098622613135198e-06,2.902308687768168e-06,5.315763786879772e-08,1.6918910899662447e-10,0.9999958344071546,,9.056040417138836e-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.508737033902303e-12,,,,,,,,,,
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.9859201232361569,1.6466542249856478e-05,0.014063395028733569,6.953575896852816e-11,1.501554291268561e-08,,7.879433770801537e-11,,,,,,,,2.89868169234986e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,1.2501505313597807e-09,1.3709565257160895e-06,4.058644545753047e-10,2.2897305688944898e-11,0.9999986273637486,,4.193787825236736e-13,,,,,,,,,,,,,,,,,,,,,,3.9396990656955075e-13,,,,,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.00017952792755735077,5.314828867625386e-08,0.9998201482061205,4.319635394456271e-10,2.699092810070301e-07,,2.968839094895807e-10,,7.990522023556615e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9999999999993677,5.384940217750524e-13,1.1176086870886863e-14,2.3659776091332185e-14,5.0087746378402395e-14,8.703945206720735e-15,,,,,,,,,,,2.628363706941973e-16,,,,,,,,,,,,,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,2.6990281312169046e-07,1.8550130977406116e-07,0.00020342688723014462,5.904100064762729e-10,0.9997961154010233,,1.4163199778468855e-09,,,,,,,,,,,,1.3173827929828626e-10,,,,,,,,,,,,,,1.691552989697081e-10,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,"['The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources'
 'The coastal State may exercise sovereign rights over its continental shelf only upon its declaration'
 'The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources'
 'The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States']",0,6.778639342806593e-15,0.9999999999996299,1.2664165549089434e-14,2.3659776091338758e-14,1.40686171244562e-16,,,3.2661313427862245e-13,,,,,,,,,,,,,,1.0956650033258265e-16,,,,,,,,,,,,,,,,,,,,2.9489423507549534e-17,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,1.6586783589101513e-12,2.2007019879699533e-15,0.999999999997565,4.4202281036303e-14,2.543665647370666e-13,,,,4.752193062759463e-13,,,,,,,,,,6.645544172898724e-17,,,,,,,,,,,,,,,,,,,,,,,,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,4.111452592546912e-15,1.2415511035982455e-16,0.9999999999997307,3.90083761017965e-14,9.173890754176696e-16,,,,2.2447770550203615e-13,,,,3.374885804014384e-16,,,9.083381915284276e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,3.85073448704644e-09,0.999998922185888,5.602785618626794e-09,4.553672689857291e-11,1.0677030160178661e-06,,,5.905292595896293e-10,,,,,,,,,,,,,2.1510026708187923e-11,,,,,,,,,,,,,,,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,3.266131342758048e-13,1.5428112031780005e-13,0.9999999999911228,1.7482341282553206e-13,1.658678358899301e-12,,,,6.560200168094729e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4208799956304384e-15,,,,1.3347932285855883e-15
