question,subject,choices,answer,d,a,c,b,e,f,ad,g,h,1,choice,cd,bcd,bc,bd,ab,ba,ac,Ð°,4,3,2,abc,abcd,all,db,Ñ,r,dc,da,aa,cb,none,i,bb,band,sol,p,m,q
"This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have readâ¦the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy groundâ¦""
Roger Williams, The Hireling Ministry None of Christ's, 1652
Puritan emigration from England came to a near halt between the years 1649 and 1660 because, during that period,",high_school_us_history,"['most English Puritans were imprisoned for heresy'
 'most Puritans converted to Catholicism'
 'the New England settlement had become too overcrowded, and colonial legislatures strongly discouraged immigration'
 'the Puritans controlled the English government']",3,0.0714489542513799,0.320211997355494,0.5982347695806992,0.0096695644605702,3.951729985984587e-05,,3.4873894724820644e-05,,,,,0.0001074191581187,,,6.867077031159139e-06,,,2.396845395405427e-05,,,,,,6.867077031159139e-06,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Wherever I goâthe street, the shop, the house, or the steamboatâI hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
âCongressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
To address the problems identified in Federalist #15, Hamilton proposed",high_school_us_history,"['abandoning an isolationist approach to foreign policy and adopting a more aggressive and interventionist stance.'
 'adopting a new constitution in order to create a more national government.'
 'forging alliances with American Indian nations to present a united front to European powers.'
 'increasing spending on military forces and cutting spending on social programs.']",1,0.0122229968799185,0.0095414458710191,0.0065424987707283,0.970992712040861,3.433188267601854e-05,,,,,,,,,5.6603705231133e-05,0.0001198300449146,4.692611983350951e-05,2.0823339448662254e-05,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Now, we have organized a society, and we call it ""Share Our Wealth Society,"" a society with the motto ""Every Man a King.""â¦
We propose to limit the wealth of big men in the country. There is an average of $15,000 in wealth to every family in America. That is right here today.
We do not propose to divide it up equally. We do not propose a division of wealth, but we do propose to limit poverty that we will allow to be inflicted on any man's family. We will not say we are going to try to guarantee any equality â¦ but we do say that one third of the average is low enough for any one family to hold, that there should be a guarantee of a family wealth of around $5,000; enough for a home, an automobile, a radio, and the ordinary conveniences, and the opportunity to educate their children.â¦
We will have to limit fortunes. Our present plan is that we will allow no man to own more than $50,000,000. We think that with that limit we will be able to carry out the balance of the program.
âSenator Huey P. Long of Louisiana, Radio Address, February 23, 1934
Senator Long ran a political machine that made him the virtual dictator of Louisiana. As a political boss, he can best be compared to whom?",high_school_us_history,"['George Washington' 'Theodore Roosevelt' 'William M. Tweed'
 'Barack Obama']",2,2.9306052770735048e-05,1.2440334820901003e-05,0.999787802474574,0.000158427024476,3.25560838779642e-07,,,,,,,,,,,,,,,,6.892123011049384e-07,,,,,,2.873064318258769e-07,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas it is expedient that new provisions and regulations should be established for improving the revenue of this kingdom, and for extending and securing the navigation and commerce between Great Britain and your Majesty's dominions in America, which, by the peace, have been so happily enlarged: and whereas it is just and necessary, that a revenue be raised, in your Majesty's said dominions in America, for defraying the expenses of defending, protecting, and securing the same; we, your Majesty's most dutiful and loyal subjects, the commons of Great Britain, in parliament assembled, being desirous to make some provision, in this present session of parliament, towards raising the said revenue in America, have resolved to give and grant unto your Majesty the several rates and duties herein after-mentionedâ¦.""
The Sugar Act of 1764
The Sugar Act of 1764 represented a major shift in British policy toward the colonies in that, for the first time, the British",high_school_us_history,"['attempted to control colonial exports'
 'offered the colonists the opportunity to address Parliament with grievances'
 'required the colonies to import English goods exclusively'
 'levied taxes aimed at raising revenue rather than regulating trade']",3,0.9991564719540552,0.0002970817835387,0.0004876834640696,3.117656080385292e-05,7.882669032228274e-06,,9.41450560383173e-07,,,7.804899278849056e-07,,,,,,,,,,3.7235091971520206e-06,1.5521895642162926e-06,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The seeds of totalitarian regimes are nurtured by misery and want. They spread and grow in the evil soil of poverty and strife. They reach their full growth when the hope of a people for a better life has died. We must keep that hope alive. . . . Great responsibilities have been placed upon us by the swift movement of events. . . . I am confident that the Congress will face these responsibilities squarely.""
âPresident Harry S. Truman, 1947
The passage above can best be seen as providing a rationale for",high_school_us_history,"['the policy of containment.' 'the principle of ""massive retaliation.""'
 'participation in the Atlantic Charter.'
 'embarking on a ""roll-back"" of communism.']",0,0.0654766257111289,0.9038768428009214,0.0060902734437239,0.0240875044764018,0.0002361456408619,3.62141069249601e-05,7.666526496175371e-05,8.601604339627027e-06,,,,,,,,8.08045947779871e-06,,,,,,,,,,,,,,4.604107026383908e-06,,,,,,,,,,
"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberalsâif we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
Which of the following groups would be most opposed to the sentiments expressed in the excerpt above?",high_school_us_history,['Neoconservatives' 'Reagan Democrats' 'Progressive Liberals' 'Populists'],2,0.0714988323902225,0.2202353636008425,0.6783677313089379,0.0298051476748433,6.871872539866936e-06,,3.455394512836469e-06,,,,,6.064406231388707e-06,,,,,,4.722964321868632e-06,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""One-half of the people of this nation to-day are utterly powerless to blot from the statute books an unjust law, or to write there a new and a just one. The women, dissatisfied as they are with this form of government, that enforces taxation without representation,âthat compels them to obey laws to which they have never given their consent,âthat imprisons and hangs them without a trial by a jury of their peers, that robs them, in marriage, of the custody of their own persons, wages and children,âare this half of the people left wholly at the mercy of the other half, in direct violation of the spirit and letter of the declarations of the framers of this government, every one of which was based on the immutable principle of equal rights to all.""
âSusan B. Anthony, ""I Stand Before You Under Indictment"" (speech), 1873
Which of the following was NOT designed to empower the government to regulate the increasing wealth and power of the industrialists in the late nineteenth and early twentieth centuries?",high_school_us_history,"['Sherman Anti-Trust Act (1890).' 'Interstate Commerce Act (1887).'
 'Federal Trade Commission Act (1914).' 'Newlands Reclamation Act (1902).']",3,0.9926746568032752,0.0040600872958345,0.0016911352784783,0.0014924216451087,8.87425925774248e-06,,5.382510322059491e-06,,,,,,,,2.388474476897546e-06,,,,,2.5425178459241706e-06,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I come not to urge personal claims, nor to seek individual benefits; I appear as the advocate of those who cannot plead their own cause; I come as the friend of those who are deserted, oppressed, and desolate. In the Providence of God, I am the voice of the maniac whose piercing cries from the dreary dungeons of your jails penetrate not your Halls of Legislation. I am the Hope of the poor crazed beings who pine in the cells, and stalls, and cages, and waste rooms of your poor-houses. I am the Revelation of hundreds of wailing, suffering creatures, hidden in your private dwellings, and in pens and cabinsâshut out, cut off from all healing influences, from all mind-restoring cares.â¦ Could their melancholy histories be spread before you as revealed to my grieved spirit during the last three months, how promptly, how earnestly would you search out the most approved means of relief; how trifling, how insignificant, by comparison, would appear the sacrifices you are asked to make; how would a few dimes and dollars, gathered from each citizen, diminish in value as a possession, compared with the certain benefits and vast good to be secured for the suffering insane...by the consecration and application of a sufficient fund to the construction of a suitable hospital.â¦
âDorothea Dix, Memorial Soliciting a State Hospital for the Protection and Cure of the Insane,
Submitted to the General Assembly of North Carolina, November 1848
Which of the following best reflects the perspective of Dorothea Dix in the passage above?",high_school_us_history,"['The care of the mentally ill is a state concern.'
 'The mentally ill are best left to the care of their families.'
 'The federal government should regulate the treatment of the mentally ill.'
 'More democracy will help the mentally ill.']",0,0.0009071949612637,0.9948600251849004,0.0035880256744452,0.0005502415583433,2.7394901021168143e-05,7.848770552074794e-06,3.9466096818316215e-06,,,1.984479973950788e-06,4.760519980883015e-06,,,,,,,7.848770552074794e-06,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantageâthe advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
In what way did the actions of Abraham Lincoln in 1860 contradict Douglass's sentiments in the excerpt above?",high_school_us_history,"['Lincoln promoted the freedom of settlers within territories to determine the slave status of their new state.'
 'Lincoln passed the Homestead Act to give free land to all western settlers.'
 'Lincoln favored the exclusion of slavery from any of the new territories.'
 'Lincoln enacted the policy of giving newly freed slaves ""forty acres and a mule.""']",2,0.1261704777742596,0.2671107329669526,0.5654568175363774,0.0409615569171952,6.1583180709537e-05,,7.829422815792981e-06,,,,,2.5671689088804157e-05,,8.334377203936694e-06,,,,2.908983477859095e-05,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
Which of the following best characterizes the policy of dÃ©tente?",high_school_us_history,"['Direct confrontation' 'Covert sabotage' 'Decolonization'
 'Mutual coexistence']",3,0.932111457700957,0.0103595552145726,0.0525887432569911,0.004891264628143,8.332851273599386e-06,,,,,,,2.879756342755212e-06,,,,,,,,,,,,,,,,,1.640835703511857e-06,,,,,,,,,,,
"This question refers to the following information.
""A drunkard in the gutter is just where he ought to be. . . . The law of survival of the fittest was not made by man, and it cannot be abrogated by man. We can only, by interfering with it, produce the survival of the unfittest. . . . The millionaires are a product of natural selection, acting on the whole body of men to pick out those who can meet the requirement of certain work to be done. In this respect they are just like the great statesmen, or scientific men, or military men. It is because they are thus selected that wealthâboth their own and that entrusted to themâaggregates under their hands. Let one of them make a mistake and see how quickly the concentration gives way to dispersion.""
âWilliam Graham Sumner, What Social Classes Owe to Each Other, 1883
The sociological ideas of William Graham Sumner reflect the idea that during the late 1800s",high_school_us_history,"['cultural and intellectual arguments justified the success of those at the top of the socioeconomic structure as both appropriate and inevitable.'
 'popular writers rejected ideas from the sciences, and based their arguments on faith.'
 'intellectuals were critical of the cut-throat competition of the ages, and proposed radical alternatives based on creating a cooperative economy.'
 'cultural products of the era tended to ignore the economic direction of society and looked back wistfully to the past.']",0,0.0065188443446694,0.9674823549734014,0.0200794541859247,0.0057528599426018,6.390850118735682e-05,1.4259914104781044e-05,4.928094447154295e-06,,,,8.125054139042475e-06,,,,,,,5.245929232019619e-06,,,,,,,,,,,,,6.327798525983838e-06,,,,,,,,,
"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantageâthe advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
Which of the following groups would be most likely to support the perspective of Frederick Douglass?",high_school_us_history,"['Southern Democrats in the 1880s' 'Western ranchers in the 1850s'
 'Southern farmers in the 1830s' 'Northern Republicans in the 1860s']",3,0.9980897509428108,0.0003794028012946,0.0011686429010745,0.0003348217969744,3.083602144203312e-06,,1.1343938336045756e-06,,,,,8.834668059226164e-07,,,2.4015117645862024e-06,,,,,3.2824773960116557e-06,,,,,,7.796567197630148e-07,,,,,,,,,,,,,,
"This question refers to the following information.
On Being Brought from Africa to America
'Twas mercy brought me from my Pagan land,
Taught my benighted soul to understand
That there's a God, that there's a Saviour too;
Once I redemption neither sought nor knew.
Some view our sable race with scornful eye,
""Their colour is a diabolic die.""
Remember, Christians, Negroes, black as Cain,
May be refin'd, and join th' angelic train.
âPhillis Wheatley, Poems on Various Subjects, Religious and Moral, 1773
The point of Wheatley's poem can best be compared to which of the following?",high_school_us_history,"['The Declaration of Independence'
 'Jonathan Edwards\'s sermon ""Sinners in the Hands of an Angry God""'
 'The Seneca Falls Declaration of Rights and Sentiments'
 'Martin Luther King, Jr.\'s ""I Have a Dreamâ speech']",3,0.2378097478739245,0.0468275158337415,0.570475894836288,0.1442389032640664,2.4330397456235003e-05,,,,,,,4.545516669033027e-05,7.977630198277078e-05,0.0001490417536782,3.124084873192052e-05,,,,,,,,,,,,,,2.7569952240033746e-05,,,,,,,,,,,
"This question refers to the following information.
The man who mounted the steps of the Capitol, March 4, 1801, to claim the place of an equal between Pitt and Bonaparte, possessed a character which showed itself in acts; but person and manner can be known only by contemporaries, and the liveliest description was worth less than a moment of personal contact. Jefferson was very tall, six feet two-and-a-half inches in height; sandy-complexioned; shy in manner, seeming cold; awkward in attitude, and with little in his bearing that suggested command.â¦ His skin was thin, peeling from his face on exposure to the sun, giving it a tettered appearance. This sandy face, with hazel eyes and sunny aspect; this loose, shackling person; this rambling and often brilliant conversation, belonged to the controlling influences of American history, more necessary to the story than three-fourths of the official papers, which only hid the truth. Jefferson's personality during these eight years appeared to be the government, and impressed itself, like that of Bonaparte, although by a different process, on the mind of the nation. In the village simplicity of Washington, he was more than a king, for he was alone in social as well as in political pre-eminence. Except the British Legation, no house in Washington was open to general society; the whole mass of politicians, even the Federalists, were dependent on Jefferson and ""The Palace"" for amusement; and if they refused to go there, they ""lived like bears, brutalized and stupefied.""
âHenry Adams, History of the United States During the Administration of Thomas Jefferson, 1889
According to Henry Adams, the city of Washington in 1801 was",high_school_us_history,"['the hub of American economic power'
 'rapidly turning into the ""Paris"" of North America'
 'still an underdeveloped cultural backwater'
 'still under the control of the British']",2,0.0380665254177272,0.0040121813042142,0.8663900863518841,0.0913168473517563,6.421105753013457e-06,,,,,,,1.1996204865312175e-05,1.6396867960002374e-05,5.050590895988354e-05,1.0586613636408247e-05,,,,,,,,,,,,,,,,,5.000762188631183e-06,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
Which of the following statements is most accurate?",high_school_us_history,"['After World War I, debates intensified over American involvement overseas.'
 'After World War I, Americans generally favored the new era of American involvement overseas.'
 'American involvement in World War I was an extension of a long tradition of involvement overseas.'
 'American involvement in World War I was a direct result of ""dollar diplomacy.â']",0,0.0613508338150677,0.8469220610564397,0.0372111617077731,0.0541419208127795,0.0002841107933693,1.248295706996344e-05,2.964962187991156e-06,2.169212675970161e-06,,,,,,,,2.4580399881485385e-06,,,,,,,,,,,,,,2.309114873784618e-06,,,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
The statement above is most in harmony with the sentiments in which of the following speeches?",high_school_us_history,"[""Washington's Farewell Address""
 'George H. W. Bush\'s ""A Thousand Points of Light""'
 ""Lincoln's Gettysburg Address"" 'Franklin D. Roosevelt\'s ""Day of Infamy""']",0,0.230814650290703,0.6274558448052481,0.0749345457193313,0.0661295044938937,8.773929063864566e-05,1.7276890700883375e-05,7.742965222357438e-05,,,,,,,,,6.030227378466627e-05,,,,,,,,,,,,,2.0839908179345574e-05,,,,,,,,,,,
"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two actsâone of international terrorism and one of military aggressionâpresent a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.â¦
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
âJimmy Carter, State of the Union Address, January 23, 1980
Which of the following best expresses Carter's approach to foreign policy in the passage above?",high_school_us_history,['Isolationism' 'Appeasement' 'Containment' 'A call for war'],2,0.0052141528392081,0.0001574538475879,0.9936417695802952,0.0009060839006225,3.478608592654342e-06,,,,,,,3.100450089589243e-05,6.498896440715468e-06,2.109882764584673e-06,,,,,,,,,,,,,,,,,,,2.922886934367261e-06,,,,,,,
"This question refers to the following information.
""Those whose condition is such that their function is the use of their bodies and nothing better can be expected of them, those, I say, are slaves of nature. It is better for them to be ruled thus.""
Juan de Sepulveda, Politics, 1522
""When Latin American nations gained independence in the 19th century, those two strains converged, and merged with an older, more universalist, natural law tradition. The result was a distinctively Latin American form of rights discourse. Paolo Carozza traces the roots of that discourse to a distinctive application, and extension, of Thomistic moral philosophy to the injustices of Spanish conquests in the New World. The key figure in that development seems to have been BartolomÃ© de Las Casas, a 16th-century Spanish bishop who condemned slavery and championed the cause of Indians on the basis of a natural right to liberty grounded in their membership in a single common humanity. 'All the peoples of the world are humans,' Las Casas wrote, and 'all the races of humankind are one.' According to Brian Tierney, Las Casas and other Spanish Dominican philosophers laid the groundwork for a doctrine of natural rights that was independent of religious revelation 'by drawing on a juridical tradition that derived natural rights and natural law from human rationality and free will, and by appealing to Aristotelian philosophy.'""
Mary Ann Glendon, ""The Forgotten Crucible: The Latin American Influence on the Universal Human Rights Idea,â 2003
Which one of the following statements about the Spanish conquest of the Americas is most accurate?",high_school_us_history,"['African slavery was a direct result of Spanish settlements in Florida.'
 'Early native civilizations in Mexico introduced Spanish explorers to cattle ranching and wheat cultivation.'
 'Christopher Columbus was not the first European to have explored North America.'
 'Due to racial prejudice, Spanish explorers shunned intermarriage with native people.']",2,0.1481164424498446,0.0699953819911646,0.752197361056679,0.0291658533312436,3.8696683454097465e-05,,,,,,,0.0001051884914549,2.071284206458738e-05,3.013700737631738e-05,,,,4.38490869948272e-05,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The most important factor in the defeat of Democratic presidential candidates in the elections of 1952 and 1968 was",high_school_us_history,"[""the American public's desire to avoid conflict and return to a more conservative political and social life""
 'the Democratic Party platform pledge to increase taxes in order to pay off the national debt'
 ""the Democratic candidates' controversial positions on civil rights legislation""
 ""the Democratic Party's unequivocal support of the Equal Rights Amendment""]",0,0.0178259912874955,0.8589042703544505,0.1162400648263387,0.0065578157131708,0.0002542741093846,5.673622274858933e-05,8.173627852756892e-06,7.678412775455885e-06,,,,,,,,6.365627772261313e-06,,3.4412258613304804e-05,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We conclude that, in the field of public education, the doctrine of ""separate but equal"" has no place. Separate educational facilities are inherently unequal. Therefore, we hold that the plaintiffs and others similarly situated for whom the actions have been brought are, by reason of the segregation complained of, deprived of the equal protection of the laws guaranteed by the Fourteenth Amendment.""
Brown v. Board of Education, 1954
In which decision did the Supreme Court validate the practice of ""separate but equal"" facilities for blacks and whites?",high_school_us_history,"['Marbury v. Madison' 'Bradwell v. Illinois' 'Plessy v. Ferguson'
 'Holden v. Hardy']",2,0.0010321221977122,4.555831043620605e-05,0.998863229921223,5.138636292441034e-05,4.732520413197723e-07,,,,,,,1.2864324242006864e-06,,,,,,,,,3.923397224924053e-07,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The man who mounted the steps of the Capitol, March 4, 1801, to claim the place of an equal between Pitt and Bonaparte, possessed a character which showed itself in acts; but person and manner can be known only by contemporaries, and the liveliest description was worth less than a moment of personal contact. Jefferson was very tall, six feet two-and-a-half inches in height; sandy-complexioned; shy in manner, seeming cold; awkward in attitude, and with little in his bearing that suggested command.â¦ His skin was thin, peeling from his face on exposure to the sun, giving it a tettered appearance. This sandy face, with hazel eyes and sunny aspect; this loose, shackling person; this rambling and often brilliant conversation, belonged to the controlling influences of American history, more necessary to the story than three-fourths of the official papers, which only hid the truth. Jefferson's personality during these eight years appeared to be the government, and impressed itself, like that of Bonaparte, although by a different process, on the mind of the nation. In the village simplicity of Washington, he was more than a king, for he was alone in social as well as in political pre-eminence. Except the British Legation, no house in Washington was open to general society; the whole mass of politicians, even the Federalists, were dependent on Jefferson and ""The Palace"" for amusement; and if they refused to go there, they ""lived like bears, brutalized and stupefied.""
âHenry Adams, History of the United States During the Administration of Thomas Jefferson, 1889
Thomas Jefferson's victory in the election of 1800 was important because",high_school_us_history,"['he was the first southerner to become president.'
 'it was the first time the presidency shifted from one political party to another.'
 'he believed it was necessary to go to war with Great Britain.'
 'he encouraged the rapid industrialization of the United States.']",1,0.0004837994560699,0.005893883951764,0.0021682387345043,0.9912070511088692,1.2111676618230131e-05,7.81988616113144e-06,,,,,,,,9.432583234585252e-06,,7.419301416721086e-05,1.137786722773793e-05,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Yesterday, December 7, 1941âa date which will live in infamyâthe United States of America was suddenly and deliberately attacked by naval and air forces of the Empire of Japan. The United States was at peace with that nation and, at the solicitation of Japan, was still in conversation with its Government and its Emperor looking toward the maintenance of peace in the Pacific. Indeed, one hour after Japanese air squadrons had commenced bombingâ¦the Japanese Ambassador to the United States and his colleague delivered to the Secretary of State a formal reply to a recent American message. While this reply stated that it seemed useless to continue the existing diplomatic negotiations, it contained no threat or hint of war or armed attackâ¦.The attack yesterdayâ¦has caused severe damage to American naval and military forces. Very many American lives have been lost. In addition American ships have been reported torpedoed on the high seasâ¦.As Commander-in-Chief of the Army and Navy, I have directed that all measures be taken for our defense.""
President Franklin D. Roosevelt, radio address, December 8, 1941
The above statements were most likely made after which major event?",high_school_us_history,"['The bombing of Pearl Harbor' 'The sinking of the U.S.S Maine'
 'The bombing of the U.S.S. Liberty' 'The Boxer Rebellion']",0,2.7527889658140647e-05,0.9996987011573116,0.0001233714422103,0.0001233714422103,9.419525851927444e-07,,,,,7.886872434495314e-06,1.1362117017797815e-06,,,,,,,,,,,1.0027033075010295e-06,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.â¦ But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
âAndrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
The Zenger Case can best be compared to which of the following?",high_school_us_history,"[""Abraham Lincoln's suspension of habeas corpus during the Civil War""
 'Government efforts to prevent the publication of the Pentagon Papers in 1971'
 'The trial of the accused Haymarket Square bombers in 1886'
 'The Brown v. Board of Education Supreme Court decision of 1954']",1,0.0294113373355476,0.1318124690807499,0.0799483038298983,0.7585284551207316,1.4355537281769845e-05,,,,,,,,1.4355537281769845e-05,9.360986198957658e-05,8.70707349804117e-06,3.443714371686127e-05,,,,,,,9.86640686504451e-06,,,,,,,,,,,,,,,,,
