question,subject,choices,answer,b,a,c,d,bc,bd,ba,ab,bcd,cd,ac,3,e,4,option,cb,ad,f,abc,cc,2,band,db,1,bb,dc,abcd,'},da,aa,ca,acd,none,g,dd,bac,Ð°
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,0.3059263750257783,0.1637505885179344,0.5043873518370132,0.0251119660730053,0.0003161129255469,,,2.76216396020792e-05,1.3889032627258116e-05,,4.84774872165081e-05,,1.4784798271445624e-05,,,,,,4.018924847870334e-05,,,,,,,,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,0.1850496398360259,0.2376084408983696,0.3917500906070362,0.1850496398360259,5.478298373365418e-05,2.2836945243225956e-05,,,2.9323218131808345e-05,2.0153533441640915e-05,2.2836945243225956e-05,,2.2836945243225956e-05,,,,,,,,,,,,,,,,,,,,,,,,
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,0.0064012750163215,0.0064171421907016,0.9500467964595484,0.0368368031213495,,,,,1.315434958438784e-05,6.680329935107709e-05,,2.6160547906456347e-05,1.6890519206349815e-05,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,0.0027844679547511,0.9913391737993256,0.0021685458235974,0.0035753276258529,,,,5.375287680442842e-06,,,4.186278254762961e-06,,2.9058530658414538e-05,,,,2.1259675183921225e-05,3.062746598304053e-06,,,,,,,,,,,,,,,,,,,2.385269449108478e-06
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,0.148512024254335,0.148512024254335,0.457449239375126,0.2448549333428554,6.397045425922233e-05,7.248802128581996e-05,,,6.397045425922233e-05,8.213968918590207e-05,,,2.6666852762251064e-05,,,,1.9509886255681804e-05,,,,,,,,,,,,,,,,,,,,
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,0.3179392334402557,0.4082420323663834,0.1928398930070472,0.0803876272735052,0.0001208579094734,,,3.462637080264106e-05,,,3.462637080264106e-05,,2.379833341609595e-05,,,,1.741123267009892e-05,,1.8534160700249907e-05,,,,,,,,,,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.9963799736210532,0.0013219733660723,0.0014979920747603,0.0007076013523879,1.1437310629901076e-05,5.075275826580343e-06,3.7131511159412646e-06,6.121951226176281e-06,,,,,,,,,,,,,3.488182662515659e-06,,,,,,,,,,,,,,,,
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.1946683998240564,0.3636884510110929,0.2205881961216239,0.2205881961216239,3.4954706196176147e-05,2.402399481192023e-05,,1.8709905972026844e-05,,2.402399481192023e-05,,,8.385198110188559e-05,,,,2.722275255761287e-05,,,,,,,,,,,,,,,,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,0.1433702267727223,0.1840910151724608,0.0282312681627923,0.6425407591899925,,0.0003136212098368,,0.0001018178995894,,,,,0.0003553792193175,,,,0.0001902208793022,,,,,,8.985398101535693e-05,,,,6.997835077684312e-05,,,,,,,,,,
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.7901133366366673,0.0832773416839952,0.1069302233564393,0.0185816865866853,0.0005611181807104,,,5.21921458527502e-05,2.175692333153273e-05,,4.605940705429548e-05,,3.8184589614134696e-05,,,,,,5.21921458527502e-05,,,,,,,,,,,,,,,,,,
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,0.102366864332765,0.191246480464701,0.0376586648452104,0.6675158261228543,,0.0001358183847639,,9.33465197109562e-05,,3.89126187366689e-05,,,0.0001743942580903,,,,0.0001358183847639,,,,,,,,,,0.0001057754644096,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.5457622670267948,0.0738608953903794,0.1217760293030755,0.2577998560576365,5.94383006779992e-05,0.000266383982508,,,7.63202887952792e-05,4.629059511245939e-05,,,4.629059511245939e-05,,,,2.637558604165257e-05,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9484776046411736,0.0153305683378512,0.0105365352563775,0.0252758341105372,4.8793815238582376e-05,9.11588480671763e-05,,2.9594944946553715e-05,2.034028836817543e-05,,,,,,,,,,,,,,2.9594944946553715e-05,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,0.0022111805392206,0.0127580404351468,0.2896074641967605,0.6947322115147027,,,,,3.3574987016028425e-05,0.00023305660307,,,3.5740387636801333e-05,,,,,,,,,,,,,9.71524462551994e-05,2.7834641878816437e-05,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,"['The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources'
 'The coastal State may exercise sovereign rights over its continental shelf only upon its declaration'
 'The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources'
 'The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States']",0,0.0007090026547514,0.9983605969385152,0.0006256926467424,0.0002031327584341,,,,,,,,,,,4.77722458788383e-06,,,,,,5.413304651713369e-06,,,3.316051124676479e-05,,,,,,7.876311792955724e-06,,,,,,,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,0.0965382016626684,0.0276586578566108,0.8083044662096797,0.0663496709965128,0.0003945296593388,6.050308282725289e-05,,,0.0001863626151359,0.0001863626151359,,,,,,,,,4.1583120160973095e-05,,,,,,,2.8579632665313532e-05,,,,,,,,,,,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,0.0201817118689697,0.0065505307017964,0.9721850983080588,0.0008865179278777,3.437404677289854e-05,,,,,,6.358559292529928e-06,2.0848913266159072e-05,,,,,,,,7.66988656138647e-06,,,,,,,,,,,,,1.1159619097912832e-05,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,0.0009201064792427,0.8904565236487308,0.0019478654318422,0.1063498744478834,,,,4.002781128519959e-06,,,,,1.7939220434643363e-05,,3.1173690773547856e-06,,0.0001811797081939,,,,,,,8.473887715573654e-06,,,,,3.5676399853471584e-05,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,0.0001580673910934,6.589229189652123e-05,0.9975135316886212,0.0019256541191562,,,,,5.757604299702416e-06,8.377264824835856e-06,,0.0001682618619545,6.944996470497355e-06,4.254326116594547e-05,,,,,,,8.917551986925262e-06,,,,,,,,,,,,,,,,
