question,subject,choices,answer,b,d,c,a,2,band,Ø¨,Ñ,3,option,e,r,Ð°,1,ac,rock,choice,cd,bs,ab,no,ad,da,bd,the,bc,ba,abc,letter,sol,4,under,none,there,bcd,f,hand,Ð±,i,g,un,yes,mon,db,cb
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,6.961693891334748e-06,6.605071261457493e-05,0.9999170852079928,4.222480788628675e-06,,,,8.850800553233181e-07,5.043034140351218e-07,,4.4504620084883174e-07,,,,,,,1.9748805448847309e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,0.000526237232631,0.0473703773589476,0.0004644027278215,0.951468992005856,,,,,,,2.04044415564195e-05,,2.761440877322943e-06,2.761440877322943e-06,,,,,,,,8.070113184398808e-05,1.2375919398282993e-05,,,,,,,,,,,,,,,,,,,,,,
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,0.0045154973440532,0.0178591384378748,0.9750832173404786,0.0024169715588516,,,,,,,,,,,7.69269066322311e-06,,,4.4268378276268006e-05,,,,,,4.117600593551501e-06,,1.1192798870303224e-05,,,,,,,,,3.4136107890910936e-06,,,,,,,,,,
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,0.0473837287222067,0.0005964729749217,0.0001936464230209,0.9517361126745332,,,,,,1.8984427302180588e-06,5.160502375921927e-06,,,2.7622178736116136e-06,,,,,,3.3650702563420673e-05,,,,,,,5.493326184401339e-06,,,,,,,,,,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.999921199317366,1.07825338437208e-05,3.120029619808525e-05,1.73478566022573e-05,4.222500923034077e-06,,,,,,,,,6.083089335315531e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1364707059402305e-06,,
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.0002033502314027,0.999420038419782,6.601815436279151e-05,0.0002962907169817,,,,,,,5.41910011002208e-06,,,,,,,,,,,,,,,,,,,,2.5598016379295834e-06,,,,,3.4643147969874525e-07,,,,4.735156904692248e-07,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,0.4236869270387087,0.5440247830360267,0.0047067371668582,0.0270978215709441,,,,,,,0.0001610556124401,,,,,,,,,,,2.1796506926434385e-05,,8.620685718571775e-05,,,,,,,,,,,,1.923534984974202e-05,,,,,,,,2.798726888855215e-05,
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.0045896602383971,0.0035744309876953,0.9911044766581344,0.0004837466301294,,,,,6.089471389368001e-06,,,,,,1.068735512033681e-05,,,1.2891411032454466e-05,,,,,,,,7.896946653336242e-05,,,,,,,,,,,,,,,,,,,6.089471389368001e-06
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,0.0001577743137289,0.0040690551215465,6.577011907442159e-05,0.9956690469211342,,,,,,,,,1.8657546657789664e-06,1.9860855034218524e-06,,,,,,,,2.135243143596343e-05,8.813200997344743e-07,,,,,,,,,,,,,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.0001584217364918,0.9997518211065088,4.005528782129536e-05,3.603785673097403e-05,,,,,,,2.901595317711647e-06,,,,,,,,,,,,,2.535385732748352e-07,,,,,,,3.966010570180515e-06,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9999127377456022,3.535423020626611e-05,1.6700155847346177e-05,2.191717152639802e-05,1.994549183365368e-06,6.892977533310275e-07,,,,,4.450440787082345e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,3.11991655315692e-05,6.604863394863358e-05,0.999885063480892,6.539700365028938e-06,,,,1.55331498734054e-06,6.475180228196742e-07,5.714326495060639e-07,4.7373430551950187e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,"['The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources'
 'The coastal State may exercise sovereign rights over its continental shelf only upon its declaration'
 'The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources'
 'The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States']",0,1.6700840701305923e-05,2.2602130066007864e-06,1.3006627816127845e-05,0.9999561422308352,,,,,,,,,5.043216901323976e-07,1.760255659448867e-06,,,3.86006186283411e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,7.483434278512625e-05,0.0001399627397966,0.9997687173612172,1.0127726976650824e-05,,,,9.420253515982336e-07,1.209584494616338e-06,,3.9269459065559676e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,0.0011708928585015,0.0001581936148711,0.9983287695180996,0.0002997602985153,,,,,1.0112979455271777e-05,,,,,,,,,,,,,,,,,,,,,,,,2.256510725432572e-06,,,,,,,,,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,1.6696126926456905e-05,0.0002959459309572,8.9367927493897e-06,0.9996688656057968,,,,,,7.808882477519655e-07,,,1.3705015557826545e-06,1.4588913120689414e-06,,,,,,,,1.2874670641084172e-06,,,,,,,,,,,,,,,,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,7.888911026497291e-06,3.535564632432235e-05,0.9999484958351176,7.811079690124685e-07,,,,9.421960602866256e-07,2.123271598231144e-06,5.368471326804605e-07,,,,,,,,,,,,,,,,,,,,,3.256142455495154e-07,,,,,,,,,,,,,,
