question,subject,choices,answer,b,a,c,d,e,1,,'},''',{',cd,f,',...',...,},abc,bc,ab,i,none,option,bb,options,the,v,j,g,4,'.,3,all,either,civil,db,(,{,it,l
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,0.004294603429186383,0.004873739607223839,0.9873414556378691,0.0033446405136314953,1.755107100292957e-05,,,,,,,8.553708861464934e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,5.188086678734126e-06
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,0.001995769977581629,0.0749158389353547,0.9124832930535373,0.010135356247983009,0.00010577193383153528,,,3.8911319909567973e-05,,,,,,,,,,,,,0.00011671438419064853,,,,,,,,,,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.9998616763624733,2.282499169727045e-05,0.00010889194526830315,1.2096802430280504e-06,2.2376834479553684e-07,,,1.9139920812017864e-07,,,,,,,,,1.6371241831593568e-07,1.6025659488989913e-06,,,,,,,,,,,,,,,,,,,,,
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.00013980642509631722,0.9997987000971847,3.3206936603685085e-05,1.3004023218702832e-05,1.1362788854728896e-06,3.926874751679018e-07,,6.679838969787718e-07,,,,,7.336367880166987e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,0.00016858470998955822,0.00020335197677926852,0.00012333920862979785,0.9994720346662092,1.4730767790324956e-05,,,,,,,1.328018993617036e-06,,,,,,,,,8.574335062970915e-07,,,,,,,,1.100966415205154e-06,,,,,,,,,,
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.003586715361322426,0.9947301124136803,0.001591595293613315,2.4167109529169267e-05,,,6.923992806352606e-06,,,,,,4.758786022231962e-06,,,,,,,,1.6622451571967632e-05,,,,,,,,,,,,,,,,,,
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,0.004804531226784442,0.1319873158391901,0.002571680247812737,0.8602736029302873,0.00021109636960281623,,,,,,,1.2677322370402307e-05,,,,,,,,,,,,,,,,6.785681681777291e-06,,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.9959415750908532,0.0009080735324771683,0.0029774584849987943,0.00012289433011687187,6.93322367209671e-06,,,,,,,2.1145137516091122e-06,,,,,,1.866051836267574e-06,,2.1145137516091122e-06,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9995047458688356,6.60111032397268e-05,0.0003568524824456195,5.140949889450658e-05,1.1718374169372518e-06,,2.1506333467883486e-06,,,,,,,,,,,4.35390419550651e-06,,,,,,,,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,0.0005502176826798035,0.0011648108433737314,0.11895305295741215,0.8784729655882091,,,0.000101780037195863,0.00017862952826619175,,,7.926637266917481e-05,,0.00010834428562344978,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,"['The coastal State enjoy ipso facto and ab initio sovereign rights over its continental shelf for the purpose of exploring it and exploiting its natural resources'
 'The coastal State may exercise sovereign rights over its continental shelf only upon its declaration'
 'The coastal State exercise sovereign rights over its continental shelf for the purpose of exploiting its fishing resources'
 'The coastal State may exercise only limited rights over its continental shelf and only upon the consent of its neighbouring States']",0,0.001244126010996979,0.9983612513977038,0.0001792334309926592,0.00012318521552217622,4.928028650434094e-06,,,4.629454488136851e-06,,,,,4.629454488136851e-06,,,,,,5.245859191775549e-06,,,,,,,,,,,,,,,,,,,,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,0.00909783366874902,0.0004255113430331286,0.9881045479828986,0.002300292587505316,1.0652473115579829e-05,,5.1916007672718666e-06,5.031872003772781e-06,,,,,2.8670742439941044e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,0.0003149643110677824,9.023878596068472e-05,0.9995353782594268,2.9296244513558305e-05,3.8428309986704925e-06,,,7.807184716314857e-07,1.2475845653595267e-06,,,,,,,,,,,7.807184716314857e-07,,,,,,,,,,,,,,,,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,0.00033133974307675843,0.9878463082410865,8.377580671357615e-05,0.01168430508054837,3.918246620712206e-06,,,1.7939040226109364e-06,,,,,2.6101149515479684e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,5.143117380250515e-05,3.534809435009691e-05,0.9998270197205151,7.029807971236783e-05,2.641889769419905e-06,,6.891781231807592e-07,1.5530868751741508e-06,,,5.537701792684002e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
