question,subject,choices,answer,b,c,d,a,2,band,ب,с,e,3,r,bc,а,1,option,choice,ac,i,cd,rock,bs,ab,no,ad,the,ba,abc,4,require,recommend,impose,propose,suggest,required,provide,mandate,allow,have,letter,under,none,there,bcd,f,hand,bd,sol,g,un,yes,da,cb,mon
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,0.9986842612257476,9.598460477565426e-05,0.0002609132069734843,0.0009106765744686846,2.120576131037898e-06,,,,3.0854200647044236e-06,,,,,,,,,,,,,3.961757784238816e-06,,,,2.7228736502740157e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,8.47980962835554e-05,9.60888316267226e-05,3.534910568165552e-05,0.999768652638219,,,,,6.891978410070888e-07,,,,9.420217580635548e-07,1.0674504979050092e-06,,2.2597927217981123e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,0.1477661250805041,0.8502869508392239,0.0014485000924345111,0.00037432943315477335,,,,,7.601030886266033e-06,1.2531981301435454e-05,,2.066174413569291e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,5.143392059686483e-05,9.609121422998264e-05,0.9997893938284926,4.59985056556726e-05,,,,,2.901703239618934e-06,,,,,,,,,,,,,,,,4.180299863260447e-07,,,4.784099852419207e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,1.669666830592668e-05,0.9997040779304135,0.0002611798360020028,5.420614562183054e-06,,,,1.370545994915686e-06,8.84891002018962e-07,1.370545994915686e-06,,,,,,,,,1.1362225375906307e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,0.0005343114799209721,0.00022273416265726923,0.033056680720032476,0.9660675469024957,,,,,9.786256120337669e-06,,,,2.9846394868961317e-06,2.1836088953844957e-06,,,,,,,,,,5.631601565817261e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,7.621543929856306e-06,,
Which State exercises jurisdiction over vessels on the high seas?,international_law,"['All States may exercise jurisdiction over foreign vessels on the high seas'
 'States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them'
 'The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy'
 'The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception']",2,0.21604386789608,0.75405630322973,0.020094583010337987,0.009492011168433062,,,,,,,,0.00015342407115177784,,,,,6.740983230428599e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.948896821227939e-06,,,,,,1.2593814669366634e-05,
Should treaties assume a particular form?,international_law,"['Treaties should always be designated as such and assume a particular form'
 'Treaties should always assume a particular form, no matter how they are designated'
 'Treaties do not have to assume a particular form or designated as such'
 'Treaties have to be designated as such, no matter what form they assume']",2,0.03728633760317967,0.00019566074261077404,0.0007738532486892268,0.96164065384556,,,,,5.908442465313115e-06,,,,,3.583651506360502e-06,,4.060809160763005e-06,,,,,,2.8187602523015746e-05,,,,5.908442465313115e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the fundamental premise of monist theory?,international_law,"['Monism posits that international law is superior to domestic laws'
 'Monism posits that international and domestic law are part of the same legal order'
 'Monism posits that domestic laws are superior to international law'
 'Monism posits that domestic and international law never clash']",1,0.9997859827320668,9.609002292096788e-05,2.5862278818482094e-05,3.3069320223775513e-05,1.3004370468221795e-05,,,,,,,,,1.5531505654597993e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.960737913810567e-06
Where do we find the 'general principles of law recognized by civilized nations' (article 38 ICJ Statute)?,international_law,"['We look for established principles of law recognized only among the most civilised nations'
 'We look for established principles of law, which are common to all major legal systems'
 'We look for general principles of international law recognized by international courts and tribunals'
 'We look for general principles of law recognized by all nations']",1,0.00012335720663445772,5.826981845367982e-05,0.9995746227333788,0.00023090649816896668,,,,,4.221051491214508e-06,,,,,,,,,,,,,,,,,,,2.560197145647331e-06,,,,,,,,,,,,,,,,3.057719444526438e-07,,,,4.735888520405279e-07,,,,,
When does an illegal act of violence on the high seas fall short of qualifying as piracy?,international_law,"['When it is committed against a public vessel of another State'
 ""When it is committed for 'private ends'""
 'When it is committed by a warship even when its crew has mutinied and taken control of the ship'
 ""When it is not committed against another vessel and when it is not committed for 'private ends'""]",3,0.00015836796016526796,8.476826058969987e-05,0.9994163411341042,0.0002982749918227192,,,,,9.510735252982525e-06,,,,,,,,,,,,,,,1.5525848501870599e-06,,,,7.88467646002735e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the meaning of ""armed attack"" in Article 51 UN Charter?",international_law,"['Armed attack includes all types of armed force'
 'Armed attack includes all high intensity instances of armed force'
 'Armed attack includes terrorist attacks'
 'An ""armed attack"" gives the right to invade the aggressor State']",1,0.9991651937006052,0.0002957952552853293,0.00015832779089316475,0.00029778830803802277,5.417679080807032e-06,,,,2.8998746440502217e-06,,,,,4.2192927105620856e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is an 'injured State' in the law of international responsibility?,international_law,"[""A State is 'injured' in case that it has suffered a damage from the internationally wrongful conduct""
 ""A State is 'injured' in cases that there has been a violation of a peremptory norm of international law""
 ""A State is 'injured' should it acknowledge the existence of the internationally wrongful conduct""
 ""A State is 'injured' if the obligation breached was owed to it individually or if it was owed to a group of States, including that State, and it was specially affected""]",3,0.0001793909269740917,7.478126413041967e-05,0.0006261358585965724,0.9990699418924504,,,,,,,,,2.8995842773117905e-06,4.780606274191608e-06,2.8995842773117905e-06,,,,,,,,,1.2995035164152348e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is personal (ratione personae) immunity?,international_law,"['Personal immunity is afforded to all physical persons'
 'Personal immunity is that which is afforded in a personal capacity and hence does not cover conduct of the State as such'
 'Personal immunity is afforded only to particular persons irrespective if their conduct was undertaken in a private or public capacity'
 'Personal immunity is afforded to State officials for conduct undertaken in a public capacity']",2,0.9991311057249663,0.000295784535970723,0.0003797946809493383,0.0001411768173119793,3.086788624061705e-06,,,,2.5590376510151664e-06,,,1.7587991415651575e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements best describes the UN Human Rights Council?,international_law,"['The UN Human Rights Council has the power to impose economic sanctions on a state for human rights violations'
 'The UN Human Rights Council scrutinises the human rights records of member states on the Council and each member state of the UN'
 'The UN Human Rights Council replaced the Economic and Social Committee of the UN'
 'The UN Human Rights Council consists of 27 member states']",1,0.9998116468464863,3.119675556338083e-05,8.480157375481673e-05,4.652735324699226e-05,3.2881138452263666e-06,8.313653755870252e-07,,,1.209629483889958e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When a reservation is considered as invalid under the law of treaties?,international_law,"['A reservation is invalid when the majority of the State parties objects to it'
 'A reservation is invalid only when an international tribunal says so'
 'A reservation is invalid only when is incompatible with a peremptory norm of international law (jus cogens)'
 'A reservation is invalid when it is incompatible with the object and purpose of the treaty']",3,4.539200714914416e-05,0.9998315222347766,9.609487988882084e-05,9.514681584104658e-06,,,,1.8735518897605426e-06,7.810126247380659e-07,1.0028400609176819e-06,,,,,9.420810531387321e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of rights do coastal States enjoy over their continental shelf?,international_law,9.421430474352317e-07,0,3.53536570317499e-05,2.75334557807647e-05,5.421658901950978e-06,0.9999050326333948,,,,,,,,,,2.9020048888009805e-06,,9.54197969825099e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any limits to the application of article 103 of the UN Charter?,international_law,"['No, there are no limits to article 103'
 'Yes, Article 103 cannot trump multilateral treaties'
 'Yes, article 103 of the UN Charter cannot trump jus cogens norms'
 'Yes, when a case is submitted to the ICJ, article 103 ceases to have any effect']",2,0.11786303804919605,0.8708831810932312,0.009674485444076258,0.0013092992277425471,,,,,6.0632612127411305e-06,3.454742100877083e-06,,0.0001771944663209015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2835924088099959e-05,
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,international_law,"['Domestic law always prevails over international law'
 'Only customary international law prevails over domestic law'
 'Obligations under international law prevail over domestic law'
 'Constitutional obligations always prevail over obligations under international law']",2,0.00020339231854426689,0.9996435620058437,3.320288326995759e-05,3.762379581471086e-05,,,,3.499558149871629e-06,,1.6695458187817733e-05,,,,,2.560331436853678e-06,,,,,,,,,,,,,,,,,,,,,,,,,,6.5380353662966586e-06,,,,,,,,,,,,
What is meant by an international organisation's implied powers?,international_law,"['Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter'
 'It refers to new powers assumed unilaterally by the organisation'
 'It refers to powers conferred upon the organisation by the international Community'
 ""Implied powers are those whose determination depends on an expansive interpretation of an organisation's charter""]",0,3.1183667629934744e-05,1.1471830221376389e-05,0.0005527434708345992,0.9993878817246237,,,,,,,,,1.4584795432665633e-06,1.6526738382821175e-06,1.0670464283527776e-06,,,,,,,,,4.7821703154919116e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the criteria for statehood under the 1933 Montevideo Convention?,international_law,"['It requires that the entity in question is not an aggressor and that it is peaceful'
 'It requires recognition by the majority of other nations'
 'It requires a permanent population, a defined territory, a government and a capacity to enter into foreign relations'
 'It requires stable and indissoluble borders as well as recognition']",2,1.3006069644194892e-05,0.9999075505804935,6.60502716799693e-05,1.5533535030898738e-06,,,,1.3708296550957443e-06,3.9274927186313067e-07,3.288449391846619e-06,,,,,7.810751931053701e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
